tweet,label_sentimen
ASTAGAAAA BARU INGET SEKARANG SEKOLAH OFFLINE,-1
"Yg udh sekolah offline, lama lama bosan gsi sekolah offline? Kok gw bosen :(",-1
@jinhwanchy Wah udah sekolah offline? Semangat jojooo,1
"@Fajri_UN1TY Haii juga, yuk yg sekolah offline kayak aku semangat belajar di sekolah nya jangan mikirin dia, dia aja ga mikirin kamu🖤",1
"Sch! Hai gais hari ini sender PTM untuk yg pertama kali di sekolah baru alias baru aja masuk SMA, agak takut tapi tetap percaya diri, semangat buat yg lagi offline atau online",-1
"adek semua uda mulai sekolah offline, ini kakak pertama masi bertahan di meja belajar sendiri sambil nyuapin kucing",0
sekolah offline/online ?,0
Sekolah lg.... Mana ud offline papay guyss,-1
"morning, hari ini sekolah offline/online?",0
sch! wtp sender udah sekolah offline nii... ttp semangat yaa buat yang online juga offline 💕 https://t.co/6ZOS9VwFC2,1
"Yang mau offline sekolah satu orang hebohnya serumah, padahal sekolahnya deket😌",1
"@bertanyarl ENGGA, gue sekolah offline bawaannya males🙏 tapi waka ngetweet sih jadi i think im ok😬",-1
@aradeakay ga sekolah u?? msi offline??,0
udah tau hari ini sekolah offline tapi tidur jam 3😭,0
adek akuu hari ini sekolah offline jadi sarapannyaa udah siap jam seginiii https://t.co/5TIqhlG0mg,1
"pagi moots , cung yg sekarang sekolah offline 🙋🙋",1
kalian sekolah offline??,0
@nininainin_ sekolah nya daring / offline nin??,0
"@yxseoo wahhhh , sekolah nya offline apa daring ai??",0
Serumah baru inget kalo adek hari ini jadwalnya sekolah offline wkwkwkwkw,1
@DiMabokTaekook Gue kira sekolah offline,0
"Bete banget dahhh pagi"" mau sekolah offline eh malah ujan malah naik motor woii masuk angin rasa ny 😭",1
"Sekarang padahal sekolah offline, tapi gua blm tidur sama sekali.",-1
"pagii moots ! mau tanya dong, sekolah kalian masih online atau udah offline nii??? kalo aku sendiri udah offline 😆 #nadabertanya",1
"@chnasbOo HSJAHSKAH SEKOLAH OFFLINE KERASA LAMA BGT SELESAINYAA, STRESS GUE",-1
hi bestie gw sekolah offline,1
ini gua bolos sekolah offline bisa gak ya njg,-1
kalian hari ini sekolah offline atau online?,0
"@schfess PTM sih cuman kadang males bangun pagi-pagi karena kebiasaan daring masuk jam 8. pas offline jadi set 7 harus berangkat ke sekolah, rasanya badan tuh pingin nempel di kasur trs",-1
@wtanable SEKOLAH OFFLINE,1
"Sekolah senengnya online.. Gue lebih nangkep serius.
Kerja serunya offline😭 https://t.co/IB6nRH3EuX",0
"@schfess bkn loker tapi kolong meja. dulu kl offline isi semua buku pinjeman perpus, jadi sekolah cuma bawa buku catetan",1
@convomf SAMA AJGG BESOK SEKOLAH OFFLINE LAGI ADUH,-1
@bertanyarl Kangen sekolah offline ga?,0
langit bisa kah engkau turunkan hujan dengan petir besok? saya males sekolah offline :(,-1
"SchApp! sch! aku besok sekolah offline tapi takut, soalnya gada temen😞 temen kelas pada nge circle semua:((",-1
"cantik kali pundi-pundi uangku😃 so thankful karena pandemi, gue jadi ngoleksi skinker. andaikan, gue sampe lulus sekolah offline. ni muka bakal hideung, dekil gakaruan pasti. uang2ku yang berpindah haluan dari nasi warteg ke skinker🤪 aga nyesel, dulu gue duit utuh gadubeli apa2 https://t.co/1Dwxw31ZaZ",0
"belom sekolah udh pengen pulang, alias gapengen sekolah offline 😠😠😠",-1
"@wonijay @sbmptnfess Setau aku ga harus lomba offline dan antar sekolah sih, soalnya lomba online gini juga serti nya diibaratkan kayak lomba pada umumnya (yang offline) apalagi ini tingkat nasional (soalnya diadain univ untuk satu Indo) jadi seharusnya bisa dipake sih. Cmiiw ya",0
besok pagi masuk sekolah offline tp sekaranh blom tidur kenapa ya,0
Sekolah offline https://t.co/0HUTtqm5v6,1
tapi bsk yang sekolah offline giliran yg genapppp 😭😭😭,1
"@BAALTlDDlES iyaah aman kl gituu xD

WKWKWKWK hayooo
aku kebiasaan sih gatau kenapa emg udh sejak SMP kebiasa bangun jam 4 gitu kalo sekolah/kuliah offline",1
Mau nangis gasi kek dulu pas masih normal sama offline sekolah.. setiap bangtan comeback selalu ikut po album trs fullpay mungkin grgr sibuk rl ga kerasa bgt tbtb udh rilis trs pada udh arrived ina 😭😭😭 bener bener se santai itu dulu.. tp skrng kek apa apa jadi lama bgtt 😔😔,0
"so tomorrow finally offline school... i don't know what to react karena pengumumannya tuh dua hari yg lalu, TWO DAYS AGO?? dan gue harus mencari segala peralatan sekolah yang gaktau dmn keberadaannya karena udh 2 tahun gak sekolah",0
semenjak sekolah offline tambah stress,-1
"Tiba tiba mikir kaya gini.. 
Sering banget dibilang “hp teross” Nih ya padahal aku pegang hp terus kan juga buat sekolah yak. Kaya.. iya dulu sekolahnya offline jadi pagi sampe sore diem disekolah nggak pegang hp, nah malemnya baru tuh keliatan pegang hp. Tapi kalo sekarang..",1
@hwngsaint sekolah offline yg bikin aku gabisa tdr 😭,-1
besok aku sekolah offline 👌🏼,1
"@parachietamol Aku hari ini sekolah offline full satu kelas. Buat aku yg di rumah gak punya temen, hari ini tu seneng banget!!! Having fun with ma bestie avv☹️❤️",1
"@convomf Ga siap sekolah offline, eh tapi kayaknya gue doang",-1
orang-orang membenci sekolah offline hanya karena keluhan pribadi mereka. tapi apa mereka tidak memikirkan apa yang terjadi di masa yang akan datang? ingin tidak normal terus?,1
"jangan gitu, mending dibiasakan. memang kamu mau sekolah online terus? bisa saja kamu kaya berdoa semoga p word ini diperpanjang lagi. mau sampe kapan? ayo, kalau tidak mau sekolah offline, silakan, masih ada yang namanya home schooling. https://t.co/2f4113NipW",1
baru 3 hari sekolah offline gatau knp tp jd kayak mentally unstable,-1
adek gue dateng dateng nyari tas sekolah soalnya bsk offline,0
"@nzz0502 Udh masuk, liat kknya sdh sekolah tk dia mau ikutan, jd ku masukin PAUD aja. Offline bund 🤣",1
"besok sekolah offline, sama dl tugas video masak",1
"@ttoragaleyo Efek mengantuk, ayo kawan jangan tidur malam malam, gutnait aku mau tidur BESOK SEKOLAH OFFLINE GUE VI😭",1
@jnandaradhy @chogiwabois @jeffreyyse kak kok kamu jadi kaya abang tapi kalo kamu online abang offline dah kaya sekolah ye,0
gek wae wis iso beradaptasi sekolah online malah wis mulai offline hadehh,-1
"gue sekolah offline, pdhl di kelas rame bgt. biasanya gue nimbrung ngobrol sama yg lain. tapi ini engga, kenapa ya diem mlu ga seheboh dulu pas kls 10",0
tugas w di ttp aja banyak walau udh sekolah offline heran deh,-1
MALES BGT BSK SEKOLAH OFFLINE,-1
@convomf Bener sekaliii udah semangat kembali menjalani sekolah offline ternyata capeknya malah nambah 2x lipat sedih bangett apa mungkin emang belom terbiasa aja kali yaa wkwk tapi offline bikin lebih paham materi sih.,1
