username,tweetcreatedts,tweet
flowpeachy,2022-06-21 21:07:26+00:00,"Dia anak baru, terus baru sekolah offline beberapa hari langsung banyak bgt yg suka cuy😩 https://t.co/ZnozIoRAKj"
yeonjuniee99_,2022-06-21 18:32:22+00:00,"@tanyakanrl pernah si pas awal awal masuk sekolah offline, galama deket deket ujian langsung di serbu 2 cowok"
yawaawoo,2022-06-21 18:23:51+00:00,Mulai pusing. Terakhir kali begadang seminggu penuh hari jumatnya sekolah offline gw rasanya mau mati
cebenele,2022-06-21 17:48:58+00:00,"Si anak sulung sudah semester akhir, tahun ini. Biaya membengkak, sekolah sudah offline, perlu bensin untuk bimbingan, tapi tidak perna diberi uang saku. Cuih."
DionisiAchy,2022-06-21 16:35:16+00:00,"@schfess Buat aku, susah. Pas kelas 10, udh tekanan linjur, lingkungan yang bener bener baru, awal covid, online, masa adaptasi, temen yang ga supportif, bikin makin males sekolah
Tapi pas kelas 11, udh mulai offline, ktmu temen sekelas, kayak gampang gtu ktmu yg positif"
ryujinsgfie,2022-06-21 15:19:52+00:00,@aidaneksa INI LAGU KEBANGSAAN DAN KEBANGGAAN JAMAN MASIH SEKOLAH OFFLINE DULUUU WUAKAKAKAK. tiap jamkos pasti nyanyiin ini sambil gebrak gebrak meja atau tong sampah
itsvraza,2022-06-21 14:43:40+00:00,"@schfess Aku nyesel selama pandemi terlalu santai dan males belajar. Pas sekolah mulai offline, udah ngejer ketertinggalan mapel (yg belum aku pahami) malah susah masuk ke otak. Buat sender dan kalian semua, jangan sepelein waktu ya."
woozpaw,2022-06-21 14:29:48+00:00,"@aloehoshi Just online concert only… yang offline belum pernah JSVSJSHS unless pensi sekolah shhshs aku pernah ketemu tulus, rizky febian sama nadin amizah sjsbsnbs"
xchoc0pie,2022-06-21 13:51:02+00:00,"main cod juga kagok, wajar sih kek udh lama bgt semenjak sekolah offline gapernah main lagi 😭"
ekopde,2022-06-21 13:21:37+00:00,"@SIAPonline Untuk edit file upload udah dilakukan, apakah harus kembali ke sekolah secara offline? https://t.co/XSyMutpJ3V"
