tweet,label_prediksi
"Dia anak baru, terus baru sekolah offline beberapa hari langsung banyak bgt yg suka cuy😩 https://t.co/ZnozIoRAKj",negatif
"@tanyakanrl pernah si pas awal awal masuk sekolah offline, galama deket deket ujian langsung di serbu 2 cowok",negatif
Mulai pusing. Terakhir kali begadang seminggu penuh hari jumatnya sekolah offline gw rasanya mau mati,positif
"Si anak sulung sudah semester akhir, tahun ini. Biaya membengkak, sekolah sudah offline, perlu bensin untuk bimbingan, tapi tidak perna diberi uang saku. Cuih.",positif
"@schfess Buat aku, susah. Pas kelas 10, udh tekanan linjur, lingkungan yang bener bener baru, awal covid, online, masa adaptasi, temen yang ga supportif, bikin makin males sekolah
Tapi pas kelas 11, udh mulai offline, ktmu temen sekelas, kayak gampang gtu ktmu yg positif",netral
@aidaneksa INI LAGU KEBANGSAAN DAN KEBANGGAAN JAMAN MASIH SEKOLAH OFFLINE DULUUU WUAKAKAKAK. tiap jamkos pasti nyanyiin ini sambil gebrak gebrak meja atau tong sampah,positif
"@schfess Aku nyesel selama pandemi terlalu santai dan males belajar. Pas sekolah mulai offline, udah ngejer ketertinggalan mapel (yg belum aku pahami) malah susah masuk ke otak. Buat sender dan kalian semua, jangan sepelein waktu ya.",negatif
"@aloehoshi Just online concert only… yang offline belum pernah JSVSJSHS unless pensi sekolah shhshs aku pernah ketemu tulus, rizky febian sama nadin amizah sjsbsnbs",positif
"main cod juga kagok, wajar sih kek udh lama bgt semenjak sekolah offline gapernah main lagi 😭",negatif
"@SIAPonline Untuk edit file upload udah dilakukan, apakah harus kembali ke sekolah secara offline? https://t.co/XSyMutpJ3V",positif
"@huffingspalshh @ohmybeautybank Dulu sebelum covid sekolah offline berusaha tiap berangkat sklh jangan ngaca di spion, suka kaget sendiri liatnya trs nanti jadi bt di sklh deh 🙄",positif
@convomf Peluk jauh buat sender. Pasti berat banget ya. Apalagi sekarang sekolah udah full offline juga.,positif
"hi, aku mau jual akun zenius aku. Kemarin aku beli cuma salah pilih paket. Alasan aku jual karena semester depan ada jam tambahan dan les offline. Paket Aktiva Sekolah Lite 6 Bulan 22/23. Dari hrg 150k jadi 100k aja.
#zonauang️ #Zonajajan #zonaba #utbk2023 https://t.co/JI511fcpAt",netral
@chfluv SEKOLAH FULL OFFLINE JADI JARANG BUKA TWT,negatif
