username,tweetcreatedts,tweet
zyenxx,2022-07-14 23:35:51+00:00,"@baby_gums @schfess Aku ga pernah les nder, tp alhamdulillah bisa dpt juara kelas dan juara umum di sekolah. ya.. walaupun tetep ga lolos snm sm sbm jg hehe. Temen² ku yg lolos sbm mereka kebnyakan les offline. Aku ga bisa ikut les karna kehalangan biaya, buat beli wangsit aja ga sanggup wk😄"
saintsupra,2022-07-14 23:13:44+00:00,baru mulai sekolah offline langsung online lagi anjg
mirzarbn,2022-07-14 20:23:35+00:00,"klo liat friendlist steam kadang nyesek gitu, udh pd offline berbulan2 karena urusan kerja, kuliah, sekolah."
haericane,2022-07-14 17:48:15+00:00,@yunoscbd BELOOOM nnt tanggal 18 berjamaah eh tapi gue juga kalo offline emg ga sempet kpopan anjrit pulang sekolah bawaannya pengen bobo aja 😔
suhflawer,2022-07-14 16:08:59+00:00,"Kek sepi aja gitulo dirumah, apalagi dia kalo kemana2 ngintilin gua mulu
Gua ditinggal adek gua sekolah offline aja gini gimana nanti gua ditinggal adek gua kuliah di luar kota🤕😭"
suhflawer,2022-07-14 16:08:58+00:00,"Gak ada adek gua dirumah keknya beda bgt vibesnya
Biasanya ada yg berisik walopun umurnya udh mau legal tp kalau dirumah kelakuannya masih kek bocil, terus pas dia udh mulai sekolah offline kek ngerasa yaelah kenapa lu gak online lg aja si sekolahnya"
delfhy_3,2022-07-14 15:59:10+00:00,"krn gbisa d gantung gt sama akhir eps nya. terus terus nangis smpai mata bengkak fix ini cloy si😭😭 trs oh...aku nonton welcome to wakiki S2 ngakak pol brng adeku si🤣 tp kalau sekolah offline tu ak nonton sehari 1-2 eps sepulang sekola, nunggu ngantuk waktu tu nonton wwwsk🤭"
americaneooo,2022-07-14 15:19:22+00:00,"Di SMK ini awal deket sama A,trs sm B,eh pindah jd deket sm C.ngerasa klop sama si C sampe mikir pas sekolah offline duduk bareng. Eh ternyata karna pkl si C ini lebih deket sm temen se pkl nya, jadi dia duduk sama orang lain.pas masuk,ditawarin duduk sama D yg belum begitu deket"
seunghour,2022-07-14 14:56:39+00:00,mau libur lagi dong ga kuat sekolah offline 😭
neil01naeil,2022-07-14 14:27:01+00:00,"@vodxola nie ak bilang ""bisa dipasangin wifi ga? soalnya kelas 12 nih tugas onlinenya banyak, mana kitanya selang seling offline online sekolahnya"" nih pas awal klas 12 ak bru pindah kos baru trus sekolah ak nie msih offline online gtu. akhirnya diiyakan deh😔🖐️"
yeojapenguin,2022-07-14 14:24:05+00:00,"@starrynata GAAAAAA. ambis dari kls 10 biar nilai terkontrol, selagi sekolah offline ambis terus sampe kls 12
yein kls 10 ga terlalu ambis krn online:( dan hasilnya ya kurang memuaskan... dan nyesel.. kls 11 sama 12 harus lebih keras 2x lipat buat menutupi nilai yg di kls 10 sksksk"
aerichuchinaga,2022-07-14 14:10:33+00:00,"Gue baru menyadari kalo dulu jaman sekolah offline tuh gue jelek bin dekil banget ewh

Ps. Abis ngeliat foto foto smp-sma"
hihihi76012973,2022-07-14 13:48:57+00:00,"Sumpah kayaknya aku gakuat kalau harus sekolah offline terus, belum juga 1 minggu badan udah capek banget. Belum lagi pikiran."
GAlkumaira,2022-07-14 13:31:53+00:00,"@moochiyyaa Alasan kedua karna aku tinggal di pesantren kak. Gaboleh pegang hp (kecuali perpulangan) jadinya gak bida ikut bimbel online, juga pas di ponpes aku gabisa ikut bimbel offline karna gak dibolehin keluar area ponpes kecuali jam sekolah... Jadinya gabisa ikut bimbel. Cont—"
pristhaa,2022-07-14 12:25:22+00:00,Gak tenang bgt hidup gw awal awal sekolah offline ahahahahahahaha
ISAIYUU,2022-07-14 12:02:37+00:00,"@schfess Gw gini juga tapi alasan utamanya gada tempat les yang deketttt, gw sekolah aja antar jemput mana jauuhh, kalo nekat ambil les offline kasian yang antar jemput😞"
Hjjunnie,2022-07-14 11:54:04+00:00,@MissChoiTOP @bohemianrphsdy udah mulai sekolah offline kan ya 🥲🥲🥲
jojachann,2022-07-14 11:24:14+00:00,@jwynsms banget 😭✌️ beneran dehh sekolah offline seru banget 🥹🫶
cellinaavr,2022-07-14 10:34:30+00:00,"@collegemenfess dulu waktu mpls offline smp ada yg tiba"" dateng trs duduk dibelakang eh pas diabsen kakaknya kok gada namanya ternyata salah sekolah 😭"
aulliara_,2022-07-14 09:40:06+00:00,"@stoopidfairy Online, apalagi kalau sekolah kamu full day, takutnya kalau offline nanti kecapean"
latteulip,2022-07-14 08:24:42+00:00,"@strwbrryshakes BANGEET, liatnya seru gitu main game sama keliling sekolah offline :( aamiin, semoga mpls sma kita lebih seru yaaa!"
Askrlfess,2022-07-14 06:51:30+00:00,[askrl] apa masih kurang? buat sekolah offline gak bakal jajan sih karena bawa bekal sendiri. paling dalam seminggu cuma jajan sekali aja https://t.co/UZ2b4l1cfl
plibig,2022-07-14 06:46:03+00:00,IH SENENG BANGET BISA NGERASAIN CAPEK SEKOLAH OFFLINE KAYAK SEBELUM PANDEMI GINI
februarhyme,2022-07-14 06:44:25+00:00,"@convomf pernahh, waktu minggu pertama masuk sekolah offline"
republikaonline,2022-07-14 06:06:08+00:00,"Jelang masuk sekolah secara offline, pedagang seragam di Bandung meraup keuntungan. https://t.co/zH8TZDUwPH"
dimasa113,2022-07-14 05:47:35+00:00,Udah mulai offline ya sekolah
cruciologyy,2022-07-14 05:44:28+00:00,"@aanggina_ mana ada, agak berat hati mau bangkit dari kasur, iyakan :(, sekolah offline pun baru sebentar tp udh mau lulus aja"
taexas,2022-07-14 05:24:57+00:00,"Udah pada WFO, kuliah offline, sekolah offline jadi pada ga gabut lagi wkwk https://t.co/NctNnRzHrp"
