username,tweetcreatedts,tweet
yourkeychain_,2022-07-17 23:56:39+00:00,ini sekolah offline bener bener offline dah kek yg RUAMEEEE
sojolicious,2022-07-17 23:54:56+00:00,Sekolah offline 😭😭😭😭😭😭😭😭😭😭 Oh God
mustibishaya,2022-07-17 23:52:39+00:00,"senin pagi ini jalanan komplek rame bgt udaa full offline semua sekolah, i miss go to school w uniform"
ojanthoughts,2022-07-17 23:51:13+00:00,Anjay sekolah dah offline depan rumah gua rame bgt wkwk anak sd pada berangkat sekola
nahyeena,2022-07-17 23:50:12+00:00,"mau skola offline uga tp ku homeschol, ku hrs ke dom sekolah ku dlu bru bs offline tp nda tau kpn😔☝️"
astro_xphile,2022-07-17 23:43:34+00:00,Kalian sekolah nya online/offline? Udh fullday?
dwijonarko,2022-07-17 23:39:51+00:00,"@bogipratomo @yusufgunawan Hari pertama masuk sekolah dok, udah mulai offline semua"
radianceinme,2022-07-17 23:20:59+00:00,Tmi tapi akibat udh bukan anak sekolahan lagi jdi gatau samsek hari ini kalo anak2 sekolah akhirnya masuk full offline lagi wkwk
haitinkerbell,2022-07-17 23:16:15+00:00,"wah sekolah sekolah udah mulai offline ya, dijalan jadi rame banget."
kimchitannies,2022-07-17 23:15:57+00:00,"Sekolah udh pada offline ya? Seneng bangett banyak yg lewat anak sekolahan, jadi pgn sekolah lagi:')"
hobisunmilk,2022-07-17 23:14:02+00:00,"pas awal kerja di rs 2020 kan sekolah online tuh, jadi sepi jalanan pas otw kerja, skrg dah offline asssliii rame bangettt aaaaaa 😭😭😭"
racoonb0i,2022-07-17 22:53:18+00:00,baru sekolah offline jgn byk lagu dh https://t.co/pYeWI6vYlY
lisnts_,2022-07-17 22:49:23+00:00,"pemandangan senin pagi ...
met sekolah yaak, balon balonnya menandakan adanya kehidupan masa orientasi siswa offline tahun ini 😍
jiayou! https://t.co/lhxmZnfDCl"
ravenpuffgurl,2022-07-17 22:44:22+00:00,"sama bgt 😩 cm ngerasain yg bener bener sekolah 1 taun doang di kls 10, terus 2 tahun online mulu, kls 12 smt 2 sempet deh ngerasain offline sebulanan doang tapi ya rasanya bedaa 😔💔 https://t.co/zU7RBdr43U"
naurstka,2022-07-17 22:41:24+00:00,"@schfess tapi kadang guru bk tuh suka bgt gosipin anak muridnya ke sana sini tauu eh tapi gatau sih guru bk di sekolah mu gmn nder, klo kamu ikut bimbel offline gitu, lebih baik konsul di bimbel sihh"
yourseokjini,2022-07-17 22:40:42+00:00,"@lovetostudys Sy yg daring bilek ༎ຶ‿༎ຶ
Plisss nikmati sekolah offline kalian
Karna daring sngd menyiksa"
millefolioom,2022-07-17 22:29:11+00:00,"@schfess Sekolahku dulu sebelum ada coronces mulai jam 6.30, balik jam 3.15 nder. Kelas 12 mulai tambah les jadi mulai jam 6.00 pulang jam 17.00. Kyknya emang standarnya segitu nder, ini sender kaget ya sekolah offline?"
imlikeirene,2022-07-17 21:45:10+00:00,@fioredelcielo tp mak sekolah offline beneran bikin rai kusam ga se WKWKWK
nwsraveenoe,2022-07-17 21:45:00+00:00,"Kagen sekolah :( skrg udh offline lagi ya
.. kangen pulang jam 5.. kangen nungguin boncengan buat pulang... https://t.co/g3FoAOMQSG"
betterthanrj,2022-07-17 21:12:59+00:00,"jam 4, semangat yang sekolah. Yg mpls offline juga semangat"
zeemayoshi,2022-07-17 19:33:28+00:00,"@oopschildx @skyskyskyy0 @schfess Mjb iya kayanya pada kaget offline deh, aku sempet ngerasain sekolah setengah hari kemaren kls 12 pas pulang kaya ngerasa ini sekolah cepet bgtt?? terus yang biasanya gerbang sekolah jam 6.45 udh ditutup jadi lebih bebas jam 7-set 8 masih dibuka"
stmoozn,2022-07-17 19:13:30+00:00,masa gk pernah rasain sekolah offline sblmnya 🥲
dawbici,2022-07-17 19:01:48+00:00,"Guys kalian kenapa pada kagwt sekolah fullday gitu sih. Kan udah lama peraturan full day school, bahkan dari sebelum coronca. Kemaren ngeluh online mulu lopada, dikasih offline ngeluh juga. Hmm udah emang online kemana mana tuh udah paling enak. Presentasi gak degdegan"
lovelygurl2811,2022-07-17 18:14:15+00:00,"@auleuphoric @schfess Tau manja manja bngt, dirumah paling rebahan doang.  2 thn kaga offline smpe lupa serunya sekolah smpe balik malem"
yarbbana,2022-07-17 17:45:05+00:00,Aku benci sekolah offline
kendaraanroda3,2022-07-17 17:22:39+00:00,"ini anak-anak yang baru sekolah offline terus kaget kalo pulang jam 4 sore, sebelumnya blm pernah sekolah apa gimana?"
khoncuw,2022-07-17 16:56:42+00:00,@schfess online salah offline salah bilang aja gamau sekolah 🤝
tokopediach,2022-07-17 16:49:34+00:00,"@schfess buset ini base isi nya ngeluh sm jam balik sekolah dah... kmrn pgn nya offline katanya, skrg udh offline pd ngeluh, gimana si?"
lisagabby_,2022-07-17 16:46:10+00:00,"@schfess Ini aku lakuin pas dulu sekolah offline,semanjak online malah ga pernah belajar alhasil drop semua assksksksk"
viaainhere,2022-07-17 16:40:16+00:00,"anjeng lu bayangin ajh, libur 2 minggu ajh udh bikin gua gamau sekolah lagi apalagi ini 2 bulan nyet yaallah gamau sekolah offline"
mygnnaa,2022-07-17 16:40:06+00:00,"Udah pada sibuk in rl, ada yg sekolah, kerja offline. Semua udh pd offline..jadi udah lost.."
miluvsahi,2022-07-17 16:30:13+00:00,"Eh besok yang sekolah udah pada masuk ya, udah full day juga nggak hybrid atau online. Tapi kenapa kampus ku semester depan nggak full offline ya, tapi bagus deh 😭 
Semangat yang besok sekolah 💪💪"
1111OO6,2022-07-17 16:19:15+00:00,"Selamat malam semuanya, besok aku sekolah offline nih hehe smoga lancar ya, amin ya Tuhan🥰"
icit_,2022-07-17 16:10:29+00:00,"Marhaban ya ngurus ribetnya anak masuk sekolah besok. Dulu masih TK mah santaaay, ah cuma TK ini. Eh  masuk kelas 1 SD masih pandemi, masih santaaay. Sekarang 100% offline, nyahoooo....

Nyiapin buku, mikirin bekal, siap2 masa pengenalan sekolah... https://t.co/0jeY1dieOa"
odobom10_,2022-07-17 16:00:49+00:00,"jelek ga sih do'a aku klo do'ain km biar cepet cepet sekolah offline, biar ketemu banyak cewe cantik, baik, pinter, good attitude, yg bisa nuntun km biar lebih baik lg . biar km jauh sama aku, soalnya aku udah pernah nyoba bareng bareng sama km tp nyatanya gagal 💔 ...."
senakukeren,2022-07-17 15:54:02+00:00,besok sekolah offline (ktar ktir) https://t.co/pWQiKqXQ4L
sushileave,2022-07-17 15:43:51+00:00,"Tidak terasa sudah Hampir 2 tahun Sekolah online dan offline tapi hanya 50%
Dan besok sudah mulai seperti biasa, mungkin moment dulu yang di rasakan sebelum covid akan di rasakan lagi, seperti topik random ketika makan bekal dan ketawain kawan yang gak ngerjain tugas.
#backagain"
twtnyaobi,2022-07-17 15:28:43+00:00,"""Kak Obi ini belum sekolah tapi udah stress gimana cerita nya"" - Kok gituu? Jangan terlalu di-ovt in ya, kasihan dirimu. Sekolah itu seru, kokk! Apalagi udah mulai offline kan yaa? Semangaaattt #tellonym  https://t.co/wbKPKcfASA"
cheeesymilk3,2022-07-17 14:58:02+00:00,@blun4th 😭🙏 untung aku ada bbrp Kali di sekolah*offline semangat kangen ny
hamasahAlif,2022-07-17 14:49:49+00:00,"Udah jam segini tapi belum tidur juga, masih nyiapin buat besok. Aku takut ada yang ketinggalan karena udah lama nggak sekolah offline."
scorpiuslino,2022-07-17 14:49:32+00:00,"TL pada besok sekolah udah sekolah offline

Gue jadi kangen sekolah:"" kelakuan gue ketinggalan di kelas 11 wkwk gue belom aja ngerasain bangku kelas 12 sama perpisahan sekolah hiks"
xsvyours,2022-07-17 14:45:06+00:00,"@schfess Banyakan tugas pas online, percaya deh. Sekolah offline tugasnya masih bisa dikumpulin pertemuan berikutnya, kalo online? Kadang ada guru yang ngasih dl gak kira²"
heijmynameis,2022-07-17 14:40:27+00:00,"7.5/10
+ Udah beberapa kali masuk sekolah. Ngga terlalu memendam rindu ke teman-teman
+ Mulai suka sama crush sekelas (masih aku bucinin sampai sekarang). Doki doki bgt gituloh ahh paham ga sieee
- Praktik, pengumpulan tugas yang offline bikin capek cuy. Aku belum dibolehin -cont https://t.co/rniMqjO2i8"
junhoecandy,2022-07-17 14:33:11+00:00,"Aku emang jualan banyak banget offline maupun online bukan krn ga mampu tp emang jiwa pedagang gw udah dipupuk sejak dini wkwk. Inget banget dulu pas sd di sekolah swasta yg pastinya banyak anak orang kaya, aku malah pd banget jualan es lilin sama mie😭😭"
tydlyzn_,2022-07-17 14:23:20+00:00,Besok sekolah offline dan aku harus menjaga image sebagai anak yang baik 🤗 https://t.co/ELujKztigW
ynieeestudy,2022-07-17 14:18:10+00:00,"aku jadi ngerasa beruntung banget, dulu waktu smp pas aku udah lulus, ada sistem rolling dan kelas unggulan, terus sekarang pas ada kurikulum merdeka dan sekolah penggerak aku juga udah lulus😭 terus sempet mpls offline sebelum corona, kek omg keren juga"
_sooberries,2022-07-17 13:57:05+00:00,"@flwrxjyn deg² an bgt pls, besok sekolah offline setelah 2 tahun di rumah HEKSNSJKS 😭😭😭"
eajvran,2022-07-17 13:56:13+00:00,Moga sekolah gw ada rasa kasihan dikit lah bolehin mpls demos nya offline
