tweet,label_prediksi
ASTAGAAAA BARU INGET SEKARANG SEKOLAH OFFLINE,negatif
"Yg udh sekolah offline, lama lama bosan gsi sekolah offline? Kok gw bosen :(",negatif
@jinhwanchy Wah udah sekolah offline? Semangat jojooo,positif
"@Fajri_UN1TY Haii juga, yuk yg sekolah offline kayak aku semangat belajar di sekolah nya jangan mikirin dia, dia aja ga mikirin kamu🖤",positif
"Sch! Hai gais hari ini sender PTM untuk yg pertama kali di sekolah baru alias baru aja masuk SMA, agak takut tapi tetap percaya diri, semangat buat yg lagi offline atau online",positif
"adek semua uda mulai sekolah offline, ini kakak pertama masi bertahan di meja belajar sendiri sambil nyuapin kucing",positif
sekolah offline/online ?,netral
Sekolah lg.... Mana ud offline papay guyss,negatif
"morning, hari ini sekolah offline/online?",netral
sch! wtp sender udah sekolah offline nii... ttp semangat yaa buat yang online juga offline 💕 https://t.co/6ZOS9VwFC2,positif
"Yang mau offline sekolah satu orang hebohnya serumah, padahal sekolahnya deket😌",positif
"@bertanyarl ENGGA, gue sekolah offline bawaannya males🙏 tapi waka ngetweet sih jadi i think im ok😬",negatif
@aradeakay ga sekolah u?? msi offline??,netral
udah tau hari ini sekolah offline tapi tidur jam 3😭,netral
adek akuu hari ini sekolah offline jadi sarapannyaa udah siap jam seginiii https://t.co/5TIqhlG0mg,positif
"pagi moots , cung yg sekarang sekolah offline 🙋🙋",positif
kalian sekolah offline??,netral
@nininainin_ sekolah nya daring / offline nin??,netral
"@yxseoo wahhhh , sekolah nya offline apa daring ai??",netral
Serumah baru inget kalo adek hari ini jadwalnya sekolah offline wkwkwkwkw,positif
@DiMabokTaekook Gue kira sekolah offline,positif
"Bete banget dahhh pagi"" mau sekolah offline eh malah ujan malah naik motor woii masuk angin rasa ny 😭",positif
"Sekarang padahal sekolah offline, tapi gua blm tidur sama sekali.",positif
"pagii moots ! mau tanya dong, sekolah kalian masih online atau udah offline nii??? kalo aku sendiri udah offline 😆 #nadabertanya",netral
"@chnasbOo HSJAHSKAH SEKOLAH OFFLINE KERASA LAMA BGT SELESAINYAA, STRESS GUE",negatif
hi bestie gw sekolah offline,positif
ini gua bolos sekolah offline bisa gak ya njg,negatif
kalian hari ini sekolah offline atau online?,netral
"@schfess PTM sih cuman kadang males bangun pagi-pagi karena kebiasaan daring masuk jam 8. pas offline jadi set 7 harus berangkat ke sekolah, rasanya badan tuh pingin nempel di kasur trs",negatif
@wtanable SEKOLAH OFFLINE,netral
"Sekolah senengnya online.. Gue lebih nangkep serius.
Kerja serunya offline😭 https://t.co/IB6nRH3EuX",netral
"@schfess bkn loker tapi kolong meja. dulu kl offline isi semua buku pinjeman perpus, jadi sekolah cuma bawa buku catetan",positif
@convomf SAMA AJGG BESOK SEKOLAH OFFLINE LAGI ADUH,negatif
@bertanyarl Kangen sekolah offline ga?,positif
langit bisa kah engkau turunkan hujan dengan petir besok? saya males sekolah offline :(,negatif
"SchApp! sch! aku besok sekolah offline tapi takut, soalnya gada temen😞 temen kelas pada nge circle semua:((",negatif
"cantik kali pundi-pundi uangku😃 so thankful karena pandemi, gue jadi ngoleksi skinker. andaikan, gue sampe lulus sekolah offline. ni muka bakal hideung, dekil gakaruan pasti. uang2ku yang berpindah haluan dari nasi warteg ke skinker🤪 aga nyesel, dulu gue duit utuh gadubeli apa2 https://t.co/1Dwxw31ZaZ",netral
"belom sekolah udh pengen pulang, alias gapengen sekolah offline 😠😠😠",negatif
"@wonijay @sbmptnfess Setau aku ga harus lomba offline dan antar sekolah sih, soalnya lomba online gini juga serti nya diibaratkan kayak lomba pada umumnya (yang offline) apalagi ini tingkat nasional (soalnya diadain univ untuk satu Indo) jadi seharusnya bisa dipake sih. Cmiiw ya",netral
besok pagi masuk sekolah offline tp sekaranh blom tidur kenapa ya,positif
Sekolah offline https://t.co/0HUTtqm5v6,netral
tapi bsk yang sekolah offline giliran yg genapppp 😭😭😭,positif
"@BAALTlDDlES iyaah aman kl gituu xD

WKWKWKWK hayooo
aku kebiasaan sih gatau kenapa emg udh sejak SMP kebiasa bangun jam 4 gitu kalo sekolah/kuliah offline",positif
Mau nangis gasi kek dulu pas masih normal sama offline sekolah.. setiap bangtan comeback selalu ikut po album trs fullpay mungkin grgr sibuk rl ga kerasa bgt tbtb udh rilis trs pada udh arrived ina 😭😭😭 bener bener se santai itu dulu.. tp skrng kek apa apa jadi lama bgtt 😔😔,netral
"so tomorrow finally offline school... i don't know what to react karena pengumumannya tuh dua hari yg lalu, TWO DAYS AGO?? dan gue harus mencari segala peralatan sekolah yang gaktau dmn keberadaannya karena udh 2 tahun gak sekolah",netral
semenjak sekolah offline tambah stress,negatif
"Tiba tiba mikir kaya gini.. 
Sering banget dibilang “hp teross” Nih ya padahal aku pegang hp terus kan juga buat sekolah yak. Kaya.. iya dulu sekolahnya offline jadi pagi sampe sore diem disekolah nggak pegang hp, nah malemnya baru tuh keliatan pegang hp. Tapi kalo sekarang..",positif
@hwngsaint sekolah offline yg bikin aku gabisa tdr 😭,netral
besok aku sekolah offline 👌🏼,positif
"@parachietamol Aku hari ini sekolah offline full satu kelas. Buat aku yg di rumah gak punya temen, hari ini tu seneng banget!!! Having fun with ma bestie avv☹️❤️",positif
"@convomf Ga siap sekolah offline, eh tapi kayaknya gue doang",negatif
orang-orang membenci sekolah offline hanya karena keluhan pribadi mereka. tapi apa mereka tidak memikirkan apa yang terjadi di masa yang akan datang? ingin tidak normal terus?,positif
"jangan gitu, mending dibiasakan. memang kamu mau sekolah online terus? bisa saja kamu kaya berdoa semoga p word ini diperpanjang lagi. mau sampe kapan? ayo, kalau tidak mau sekolah offline, silakan, masih ada yang namanya home schooling. https://t.co/2f4113NipW",positif
baru 3 hari sekolah offline gatau knp tp jd kayak mentally unstable,negatif
adek gue dateng dateng nyari tas sekolah soalnya bsk offline,netral
"@nzz0502 Udh masuk, liat kknya sdh sekolah tk dia mau ikutan, jd ku masukin PAUD aja. Offline bund 🤣",positif
"besok sekolah offline, sama dl tugas video masak",positif
"@ttoragaleyo Efek mengantuk, ayo kawan jangan tidur malam malam, gutnait aku mau tidur BESOK SEKOLAH OFFLINE GUE VI😭",positif
@jnandaradhy @chogiwabois @jeffreyyse kak kok kamu jadi kaya abang tapi kalo kamu online abang offline dah kaya sekolah ye,netral
gek wae wis iso beradaptasi sekolah online malah wis mulai offline hadehh,negatif
"gue sekolah offline, pdhl di kelas rame bgt. biasanya gue nimbrung ngobrol sama yg lain. tapi ini engga, kenapa ya diem mlu ga seheboh dulu pas kls 10",positif
tugas w di ttp aja banyak walau udh sekolah offline heran deh,negatif
MALES BGT BSK SEKOLAH OFFLINE,negatif
@convomf Bener sekaliii udah semangat kembali menjalani sekolah offline ternyata capeknya malah nambah 2x lipat sedih bangett apa mungkin emang belom terbiasa aja kali yaa wkwk tapi offline bikin lebih paham materi sih.,positif
"hadehh ternyata lebih enakan sekolah online ya😭 kl offline tu ky apa ya, males bgt kudu mandi pagi, sarapan, terus juga gabisa sambil tiduran HAHAHA 🙏🏻",negatif
"Stase anak, obgyn, ipd udah mulai jaga ampe pagi 🥺 yuk bisa yuk corona ilaaangg 🥺 aktifitas kuliah sekolah bisa kembali normal juga 🥺

Hari ini vaksinasi anak sma, percobaan mau kelas offline. Semua siswanya ""iya kak, sekolah online mah bego"" 🥺",positif
"tbh lebih suka online, gatau kenapa lebih masuk materinya di aku. tapi kalau suasana sekolah lebih suka offline https://t.co/EOJqFinjOo",netral
semenjak sekolah offline tidur awal terus bukan emg harus bangun pagi sih tapi lebih ke capee bgtt,negatif
"@convomf Gausah lah buat apa aku juga kok ga buat menurut aku ga guna juga soalnya setahun doang kan offline nya dan aku emg ga deket deket amat and lumayan di aku 300 an sayang duid anjirun biaya sekolah aja dah mahal gue gamau nambahin beban:"")",netral
"GUE TAKUT KALO BSK DIA PAS MASUK SEKOLAH MATANYA BENGKAK ANJIRR MANA SEKOLAH OFFLINE LAGI, MASA ENTAR DITANYA SAMA GURU KAMU KENAPA ITU MATANYA? HABIS NANGISIN COWOK AU BU? KAN... BINGGUNG NANTI GURUNYA:(",negatif
pliss ga bisa tidur besok pertama kali sekolah offline setelah beberapa abad😭🙏🏻,positif
@cllydefvl capek ya ternyata sekolah offline 😔,negatif
"YaAllah besok ulangan bio OFFLINE, online sie tapi kita tu offline ngerti gx. Kita ke sekolah ulangan tapi tetep pake hp. TERUS NANTI NASIB KU GIMANEEE. Manalagi belajar trus si bolsi NGIRIM VIDEO JEONGWOO JIHOON KAN SAYA JADI TIDAK JADI BELAJARR",netral
"@bertanyarl 🙏😭 enak asli, dulu sering beli, jualan nya keliling gitu, sekarang udah jarang lewat, kadang dulu kalo sekolah offline musti pas pulang beli itu 🙏😭",positif
Wah sekolah offline tdk cocok untuk manusia pelupa seperti saya. Untungnya td temen ngingetin klo ada pr. Klo g mampoes aku.,negatif
"@sunewrld @deobifess Jgn dong kita kan blm sekolah offline, nnti km gapunya temen deobi lgi dikelas gmn",netral
jd inget pas masih offline dulu sering pake tab sekolah trus gabisa dipake buat buka yutub dan hal2 rekreasi lainnya 👍😭 https://t.co/f8momSslmh,netral
"☆ study progress
🗓️ Tue, Oct 26

hai hai! sorry ya aku jadi jarang banget up progress karena udh mulai offline dan jadwal makin padet ga sempet buka twitter. tadi di sekolah ulhar bio sksk. btw chemistry and math for my tuesday ☀️💗 rest well guys! https://t.co/1gKMnYLspm",negatif
"@makmummasjid ""Denger2 gedung kosong itu dulunya sekolah offline ya pak?""
*persiapan basa basi sama bapak2 tahun 2035",netral
dia nyuruh buat baru lagi tadi jam set 8 malem dan disuruh selesai besok padahal besok masuk sekolah offline 😀,positif
@deathlyfive lal udah sekolah offline blm?,netral
@cuffyins janlup istirahat yin!! aku sekolah nya campur kadang offline/online😵 anw goodnite 💗,netral
