"username","tweetcreatedts","tweet"
"cemilih","2022-05-28 19:38:20","kalo udah mulai normal lagi, udah pada sekolah kuliah offline, udah full wfo juga, gakebayang bakal semembludak apa jalanan 🙌🏻"
"JUNGJIES","2022-05-28 17:46:37","pdhl brg2 jg glama pas msh offline, tau2 sekolah online n malah bikin kita makin dkt, hampir 3th temenan sama kalian bnr2 bikin gua ngerasa Allah baik bgt sama gua, gua yg sampe skg gasudi kenal sm tmn SMP, dikirim tmn2 super baik yg sll bikin gua mau ngenang masa SMA https://t.co/h25Qe4lhcc"
"collegemenfess","2022-05-28 16:51:24","[cm] kalo sidang offline berkas² pas penelitian tuh pake dibawa atau nggak? misal yg penelitian di sekolah, itu harus bawa jawaban lembar pretest posttest nya siswa²?"
"lykygsgf","2022-05-28 16:19:47","@subschfess campur². ada senengnya, cnth kl ketemu crush di sekolah jiakh, ada tegangnya, cnth ulangan offline, ada sedihnya, cnth pas mau ulangan tp sadar diri kl gada materi yg masuk alias anjeng bgt, w ngerasa bodoh bgt loch, ada stresnya, cnth saat memikirkan harus lanjut kemana hbs SMA"
"achteezers","2022-05-28 16:06:04","gue dulu pacaran uwunya masih era offline nder. jadi jarang post di sosmed. lebih ke real dihadapan banyak orang. kantin, koridor, temen, dan guru di sekolah adalah saksi bisu pacaran gue dulu:) https://t.co/Do4fJvblBg"
"nannawin_","2022-05-28 15:57:44","Syapa yg bingung takut nilai geblog karna tbtb ulangan offline dan pake tab dari sekolah dan hpnya harus di kumpulin tapi kerjaannya scroll tiktok dan mikirin hal yang lain?"
"kalkunsenang","2022-05-28 15:17:52","@schfess transisi sekolah online ke sekolah offline"
"eonnining","2022-05-28 14:32:46","@samsungID BANYAK BANGET KENANGAN SEKOLAH OFFLINE PAKE SERIES J INI😭😭😭😭 jujur sedih buat say #ThankYouGalaxyJ but buat keperluan yang lebih terjamin kayanya emg harus upgrade ke #GalaxyA03 yang speknya udah lebih jauh nih😍😍 semoga di lirik mimin @samsungID 😍🙌"
"nnatchamatcha","2022-05-28 14:22:32","@vheyvhii wkwkwkwkwk sekolah kali ah offline"
"mermaidseo","2022-05-28 13:38:40","@samsungID #ThankYouGalaxyJ udah nemenin jaman sekolah offline, karena sekarang online jadi Pasti lebih banyak kebutuhan yang harus nge upgrade ke #GalaxyA03 
Yuk ikutan challenge @samsungID @seneority @roselasfl @minhgyuo"
"albaniasn","2022-05-28 12:52:16","@subschfess Kalau aku sendiri waktu kls 12 kyk orang Ling lung,  GA sekolah offline, di rumah ga fokus. Belajar ke ganggu. 😔 beneran bingung bgt awalnya, ancur, gatau mau gimana, stres bgtt. Semua nggak ada hentinya, belajar, sekolah, ujian, cari cuan, repeat lageee"
"QVARTARARO","2022-05-28 12:35:07","kebutuhan kelas 12; buku UTBK, les online/offline, try out, yearbook, purnawiyata (krn udh lebih bebas), yg lain tergantung sekolah masing-masing"
"lilia_andini","2022-05-28 12:27:44","@subschfess Awalnya ngerasa stres dikit. Gapapa stres yg penting belum gila wkwk
Kalo di bilang capek ya capek, mana sekolah uda offline, pulang nya langsung bimbel buat utbk. Tapi klo uda di jalani biasa aja kok. Oh ya kelas 12 banyak kejutan tak terduga, jadinya seru xixi 🙌🏻"
"lovejuyeona","2022-05-28 12:17:22","padahal awal awal dikasih tau sekolah offline 100% rasanya males banget soalnya kan kalo 50% bebas mau masuk apa ngga, eh pas dah offline ternyata seru juga yah, apalagi kalo ketemu R😀"
"hayiiwooo","2022-05-28 12:15:58","kapan mashiho n yedam balik? 
kapan proposal osis di acc pdhl waktuny udh mepet bgt?
kenapa sekolah gw PAT offline pdhl bru ptm bbrp minggu yg lalu?
kenapa kucing gw kek reog?
kapan gw banyak duit? https://t.co/omzCTqOXjr"
"susumurnibabi","2022-05-28 10:43:37","Jujur belom, gue stress kudu ujian offline di sekolah dosmaish berasa ngang ngeng ngong doang batiba ujian, ottoke ini anjir🫠 gue kudu semangat /tetap letoy https://t.co/dUbUG4RhUt"
"andinsside","2022-05-28 08:43:01","kalo sekolah offline https://t.co/KfA4uaUQZo"
"xrinazz","2022-05-28 08:21:08","online, karena aku setiap sekolah offline deg degkan mulu https://t.co/4Oc9D3EaX7"
"semangatlur","2022-05-28 07:56:14","liat orang2 pada wisuda offline kok seru ya... sekolah lagi apa nih"
"pocawoozi","2022-05-28 07:48:04","@nonujpg Wihhh, udah sekolah offline lagi yaa sekarang. Aku hari ini libur kerja jadi di rumah aja seharian heheh"
"keleuhkesah","2022-05-28 07:12:15","Wow nggak kerasa ya sekolah udah mulai offline alias nggak perlu daring virtual lagi. BTW yang sempet pacaran virtual apa kabar tuh? Masih stuck, on progress, atau justru kisahnya udah berenti? Kasih tau Dara yuk sambil request dan kirim salam! 👻"
"bawahxatas","2022-05-28 05:02:36","@collegemenfess Buset ribet bener. Kurang lebih ya kek lu sekolah offline dulu, ga pernah emang?"
"mayyshow","2022-05-28 04:10:42","sekolah gua PAT nya offline, dikasih satu orang satu tab buat ujian, WiFi sekelas satu, GIMANA COBA BIAR UJIAN DI RUMAH😭😭😭"
"gyustudy","2022-05-28 03:52:35","@studyysal iyhhh, kayaknya ribet sih kalau mau offline PASnya menurut sekolah jadi hitung2 terakhir online lahh, semester depan baru full off wkwkw"
"senflouer_","2022-05-28 03:24:28","@schfess kalau di Brain Academy, kamu bisa semester 1 belajar mipa dulu (buat pelajaran sekolah). nanti pas udh smt 2 dan intensif utbk, kamu belajar soshum.

brain academy itu bisa offline juga kok nder. itu tempat les offline nya Ruangguru.

klo mau tanya2 lebih detail bisa dm akuu"
"mockdotexe","2022-05-28 03:13:23","@aimrod gg geming efek sekolah offline"
"kysialala","2022-05-28 02:02:12","@jenjunjaechan Tinggal aku sendiri😭
Pas masi sekolah offline 2019 tuh 3/4 org yg ada di circle ku pada nge fg semuaa
skrng udh ada yg ga peduliin, ada yg dh pindah ke sekte Jepang(anime, manga, dll)"
"Jusalpuketsusu","2022-05-27 22:54:28","@arfibambani Anak gw sekolah Islam kok ya happy2 aja. Pas PJJ ada aja ketawa2 sama gurunya (krn pas PJJ ga ada pakai headset tp pakai speaker) pas sekolah offline malah lebih seneng dianya. Hafalan alquran juga ada tp alhamdulillah happy2 aja. Brati salah pilih sekolah kali situ mahh"
"iniakuind","2022-05-27 18:07:32","Gila ya, doa minta itu virus naik lagi demi ujian online? Egois lo, ya kalo ga siap mental lo ujian offline ga usah lo sekolah rebahan aje scroll tiktok https://t.co/VTOvVR2qHc"
"bos_tari","2022-05-27 17:11:33","Anak lanang menjelang sekolah offline byk bgt upgradenya. Celotehnya lebih banyak dan lebih keeping eye contact kl lg ngmg dan seharian ini dia lg seneng bgt bongkar pasang puzzle. Gemes 💕"
"melani_badri","2022-05-27 17:08:45","@bhulukhuduktv Min bantuin jualan 1 tiket im day 1 vip harga sesuai web kok Rp 200.00  tiket aku pengen aku jual soal nya dpt kabar dri tempat ngajar sekolah ku di suruh masuk offline jdi aku gk bisa klo ada yg nyari tiket bisa DM aku ya makasih banyak"
"melani_badri","2022-05-27 17:07:09","@rahmatyp_ @bhulukhuduktv Gays di sini ada yg nyari tiket im day 1 vip gk harga sesuai web kok Rp 200.00  tiket aku pengen aku jual soal nya dpt kabar dri tempat ngajar sekolah ku di suruh masuk offline jdi aku gk bisa klo ada yg nyari tiket bisa DM aku ya makasih banyak"
"AnnisaHuriarto","2022-05-27 16:26:48","Alhamdulillah sejauh ini anakku selalu semangat sekolah. Mulai new normal setiap pagi ditawari mau online atau offline selalu pilih offline.

Setiap semangatnya turun dikasih pilihan boleh berhenti sekolah atau pindah sekolah, jawabnya mau terus sekolah disini aja 😊"
"guwgies","2022-05-27 16:16:50","ini kayaknya faktor gue udah sekolah offline jadinya udah malesss banget buka twt"
"prmnchaca","2022-05-27 15:50:12","ga terima, masa sekolah lain pkknya offline pake hp. KOK SEKOLAHAN GUE PAKE KERTAS 😤😤
moga aja engga"
"xlhomeid","2022-05-27 15:08:11","Walau sekolah dan kantor sudah mulai kembali offline, XL SATU FIBER tetep bisa nemenin kamu!"
"orgcakep95","2022-05-27 14:43:44","@tanyakanrl Apa yg gua alamin kgk prlu gua sesali krna jadi pengalaman di sekolah yg seru gtu buat gua slama offline itu sebelum pandemi, masa² ya seru dah intinya https://t.co/7o5lR1WZqJ"
"jumilkawin","2022-05-27 14:32:44","@schfess selalu offline walaupun kemarin corona marak tapi ttp sekolah maunya offline"
"meunarih","2022-05-27 14:29:45","@darlanamericano Tidak adil! Tapi gapapa sih yang penting bisa sekolah SMA mau 3 tahun 😭👍🏻. Tapi kalo buat yang dari awal online ke offline susah banget tau. Jujurly aku nyaman online"
"wonyokecil","2022-05-27 13:46:18","@JlNGGALA ALA JANGAN BONGKAR IDENTITAS ACIL DONG!!! 😵‍💫 ah tapi kalau online malas banget sekolah 😑☝🏻 (maaf sekolah) kalau offline baru mau &lt;3___&lt;3 tapi sedih banget kalau graduation pas pandemi!! gak ada farewell.. biasanya kan suka pergi keluar kota gak sih!! 😔"
"zevyrst","2022-05-27 13:38:44","@schfess kls 8 masih aktif2nya ngekpop dikelas wkwk belajar enjoy trus ada pembinaan ksn matik, ekstra tari jg aktif bgt tampil, kek gaada beban sama sekali

2019 awal SMA masih seru2nya mpls, pta, mopks, latihan paskib, sekolah offline &amp; fullday, tiap minggu pasti cfd😭😭😭"
"OOTDFESS","2022-05-27 12:20:03","/ootd/ udah sekolah offline kan ya? Nih ada jaket varsity, buat ke sekolah. Kece abiss https://t.co/PsIHewte2d"
"Sansrwa","2022-05-27 11:57:28","@ayya_cai Bukaaan 😭 ulangannya justru sore abis sekolah offline 😭"
"yedamipie","2022-05-27 11:56:06","waktu masih sekolah online maren, w bs fokus rl gt yak, pas dh offline knp jadi makin nolep gini"
"soodamzlee","2022-05-27 11:54:57","gueee kira dengan sekolah offline tugas lebih dikit ternyata lebih banyak 😭 mana ini baru 75% gimana kalo udah sekolah full 100% ? 😭😭😭"
"pacarecanya","2022-05-27 11:52:13","@convomf -emm terus sebenarnya ini bukan dif offline tapi pas online waktu itu terus aku di minta tolong buat kasih foto temen2 pas ngerjain ulangan, trus karna yang lain ngak mau keinget dia, eh dikasi donggg trus kata gurunya salah pakai baju sekolah trus BERASA DI KASI PAP WOY 😭😭😭😭"
"ahennggg","2022-05-27 11:42:04","@paimonfess pas lagi di rumah,, soalnya kan sekolah udah offline jadi ya buka pas udah pulang(itupun bentar kalo weekday). Coba menyibukkan diri dengan menyentuh rumput nder🥲🥲"
"httpstudyi","2022-05-27 11:39:54","@schfess Di sekolah aku katanya bakalan ada wisuda nder gatau online gatau offline"
"httpstudyi","2022-05-27 11:38:35","@schfess Engga ko nder, sebenarnya gimana lingkungan pergaulan kamu nya. Yang penting selama sma jangan cari masalah hshsh. Tapi emang seru ko apalagi kalo sekolah offline."
"ribetbtul","2022-05-27 10:45:52","@tanyakanrl paling sering waktu smp sih, krn sma bentar doang cuma satu tahun setengah sekolah offline, lainnya ngangong"" https://t.co/XQ9x5LI6jW"
"avocasky","2022-05-27 10:44:21","@schfess awalnya gue ngira juga serem, tapi pas sekolah udah mulai offline ternyata seru hehehe"
"foryoumoa","2022-05-27 09:51:55","@serendipieety @armyfess_ mksdnya kan streamnya tanggal 1 WIB, jadi buat yg sekolah/kuliah/kerja offline bisa nonton gitu nderr"
"sunlix10","2022-05-27 09:26:18","@AREAJULID + pas kita janji mau ke mall si N ke mall, terus pas abis gua potong rambut terus kirim ke F, 2 hari setelah si N potong rambut juga. Eh taunya bener pas udah mulai sekolah offline si F sm N tuh deket banget smpe si F masuk groupnya si N lagi, bahkan chat gua ga di bales lagi +"
"seokjineraa","2022-05-27 09:02:57","@parkjimin95996 sbbb kaaa, aaaaa 🥲🥲🥲🥲 thankyouu bgt kaa!! 🫶🏻🫶🏻🫶🏻💘 ak juga berusaha kyk gituu, makanya daripada sekolah offline lebih nyaman online. tapi mau gmn lg 🥹. ak udahh kelulusan jadi gaada uas. kaka jg semangatt yaa!!💜"
"myorisharonn","2022-05-27 08:52:58","@szeeaambiss setau aku bisa kok daftar mandiri, mau online/offline, tapi biasanya nanti dikasih akun buat ppdb nya dari sekolah masing2, terus nanti kita bisa daftar sendirii gituu 😃😃"
"dutchlad_","2022-05-27 08:31:29","Positive thinking mungkin yedam lg sekolah musik diluar trs offline, jadinya gabisa ikut..."
"nidhaniess","2022-05-27 08:28:38","@schfess hut sekolah karena rame banget (kalo offline)"
"seovenahn","2022-05-27 08:00:29","@bwoeken sebenernya pas mulai corona tidurku jadi jelek begitu, mungkin gegara sekolahnya daring dan ga sekolah offline yaa jadi bangunnya ga terlalu pagi, padahal dulu aku tidurnya jam 10 bahkan jam 10 kebawah, sedih banget jadi ancur gini udah mau 3 tahun 😞"
"odeluv_xh","2022-05-27 06:24:42","@_amarusunshine Ah itu juga lumayan perlu sih, biar di kelas gak bosen² banget, apalagi sekolah udah offline lagi kan. Trus gak susah juga nanti klo ada tugas kelompok dsb. Klo bisa jangan sampe circle²an yaa, main aja sama semuanya 😬👍🏻"
"cyjcarts","2022-05-27 04:27:02","@bamubuy IH GAPAPAA, aku sekarang udah sekolah offline jadinya gabisa on twt t___t mingdep udah mulai ujian kenaikan kelas juga 😞"
"ddcgembus1","2022-05-27 04:22:02","Sekolah wes mulai mangkat 
Kuliah wes mulai makul offline
Kerja wes mulai work from office

Semester 8 seng wes acc judul skripsi karo skripsine jek ono seng revisi trs durung sempro. Kok pernahe  rodo nelongso."
"haexxchn","2022-05-27 03:39:01","@convomfs klo online mah ya main hp atau nugas klo dlu offline ngobrol, muterin sekolah, main hp, ke kantin, atau tdr"
"sungchanscartt","2022-05-27 03:34:57","@ruruorenji GAPAOA AKU ADA SEKOLAH OFFLINE BIAR LEBIH RAJIN (gatau juga si)"
"sungchanscartt","2022-05-27 03:34:38","@chalemimine IYAAA, GAPAPA AKU ADA SEKOLAH OFFLINE 😀"
"sungchanscartt","2022-05-27 03:34:10","HALO MOOTS AKU HRA REST DLU KRN AKU BAKAL SEKOLAH OFFLINE EHHEHEHHEHE, TAPI BUAT BUYER ATAU SIAPA YANG DM BAKAL AKU BALES OKAYAY"
"thyunniesbaobei","2022-05-27 03:09:40","@Binnkookie WAHHHHH STAY SAFE BINNNN,, kamu sekolah sampe jam berapaaa? IAJDJJAS MAAF ZHEI NANYA BANYAK krn curious ㅠㅠ zhei ga sempet offline sejak covid T^T"
"lvchle","2022-05-27 02:53:33","@toberytu seringgg, aku dlu pas sblm sekolah offline tuh aku bleaching kann jadi warna apa aja masuk, trus aku semir item lg krn mw skolah skrg aku warnain lg golden brown tanpa bleaching😃😃🥰"
"sulsel_fess","2022-05-27 02:12:04","Tabe , cari ka yang offline dan bukan untuk anak sekolah karena kebetulan sender sudah lulus. Tolong rekomennya tempat les di makassar yg bisa sampai lancar 🙏🏻 https://t.co/thULcThIbO"
"Introvert_bnget","2022-05-27 00:44:40","Rame bener bocah sd sekolah offline"
"linosrei","2022-05-27 00:02:01","@chriisthetic oemji kukira gaada yg notice 😭😭😭 iyaaa kmrn2 itu lagi overwhelmed sama rl jadi bener2 jrg buka hape selain buat sekolah, sama belajar juga sih mau ujian wkwwkkw SOALNYA UJIANNYA OFFLINE JADI TAKUT 😔💔😭"
"namaakumero","2022-05-26 22:48:11","@fdlyrobby_ kyknya ngikutin jam sekolah offline kak"
"theechans","2022-05-26 22:16:53","hari ini ukk offline di sekolah bisa gk yh😢"
"kiko_no_study","2022-05-26 19:28:09","for context, schedule ku wktu SMA offline kls 10 stlh sekolah:
weekday ikut ekskul smpe jam 5, kerja tugas, belajar, les mandarin.
weekend kerja tugas, belajar ulang, ikut ReKat, ikut gereja, dll

SMP lbh parah; weekday ada les kumon &amp; inggris, libur diisi les design :"") https://t.co/t2CDNhW5Tw"
"JUNGJIES","2022-05-26 18:40:47","manusia2 ini🥲 ga ngerti padahal sekolah lamaran pas offline tapi rasanya kayak banayk bgt memorinya, lovyou oll, tunggu undangan aku sama mas nabi ya https://t.co/ZFlv1FjnQE https://t.co/VeBjH1G2OL"
"dazzling9yul","2022-05-26 18:37:00","@woozilysc Makin lancar dan seru ga sekolah ? Udah offline kan ? 😳😳
Aku kangen masa sekolah malah
Bad! 😣😢😤 
Jangan cepet gede ya ayanggg hihihi enak jadi anak sekolah 😳😳"
"vefocity","2022-05-26 18:08:57","kemaren pas us offline di sekolah, dia mati tiba2 karna lowbat. GUA KAGET KARNA PERASAAN BARU DIPAKE???????"
"memperdayai","2022-05-26 17:48:15","akhirnya sekolah offline diawali dgn adegan pertolongan pertama kecelakaan kerja https://t.co/kUKXuePTjn"
"faruwuw","2022-05-26 17:16:50","bukan gak percaya, hm gmn ya
di pandemi ini bener2 keliatan beda antara sekolah swasta dan negri

adekku swasta, pas pandemi bener2 zoom dr pagi sampe sore
sekelas kalau offline tuh ber 16, itu dipegang 2 guru
pas pandemi, 1 room zoom isi 8 orang 1 guru

lebih terkontrol https://t.co/PzC52xqq4Y"
"endorvins","2022-05-26 15:40:06","Hehe, can't agree more. Gua jebolan SMA negeri. Waktu SBMPTN 2016, sama sekali gak bisa ngerjain Matdas karena gak pernah latihan soal, boro-boro inget materi sekolah.

SBMPTN 2017 subscribe Zenius + ikut bimbel offline buat TO, Matdas bisa konsisten ngerjain 6-10 soal. https://t.co/PdC8jbLz32"
"nyskmg","2022-05-26 15:20:56","gue heran 

Kalau sekolah offline, waktu berasa lama banget

Giliran sekolah online, waktu cepet bener kek tahun kemaren udah tahun baru aje"
"pvublics","2022-05-26 14:39:47","@satorublueyes_ LURING APA??? OFFLINE GITU? IYAA, AK OFFLINE DI SEKOLAH LANGSUNG"
"enhqypen","2022-05-26 14:29:44","tidur lu smua besok sekolah offline"
"mellaoii","2022-05-26 13:24:29","@calxloml IYA NIHH MAKASIH RIEE😫 hoalah enak daring, aku rindu sekolah offline tapi bikin capek juga. Iya yaa besok kejepit banyak yg libur sih pasti"
"myahyewon","2022-05-26 13:17:49","@glimpseokmin bener aku udah full offline tapi belum sampe sore gitu soalnya belum berani, minggu ini ujian juga udah mulai di sekolah tapi masih pake hp"
"favxacc","2022-05-26 13:13:25","sekolah dah offline tapi ni google classroom napa masih ada tugas????????😤"
"smileysilly07","2022-05-26 12:23:23","@OHMYV3NUS @AREAJULID Pernah kejadian sama temenku, dia dijemput grabcar di rumahnya trs bpknya tny, anaknya udh sekolah offline ya, temenku jwb belom punya anak, trs dia minta maaf eh gk lama nanya lagi suaminya kok gk nganterin, temenku akhirnya jawab lagi kerja, padahal temenku masih single😅"
"mrshananto","2022-05-26 12:22:54","Sekolah internesyenel (pdhl gak internasional juga sih 🤣) kurikulumnya blablabla.

Ini kl mau periksa2 ya.
Bisa jd alternatif sekolah utk yg pengin ""ngerasain"" kurikulum yg mirip2 dg sekolah anak gw.

Blended learning offline/online. 
https://t.co/uWJY2iMvJh"
"cyjcarts","2022-05-26 11:05:43","@913tiny AKUU UDAH MULAI SEKOLAH OFFLINE makanya jarang on t___t mingdep juga udah mulai ujian kenaikan kelas 😞"
"draemys","2022-05-26 10:59:21","wisuda offline di lapangan sekolah aja udah abis 700an, tmn gue pada ribut mau di gedung 😐, gak bersyukur anjg"
"Blue64998187","2022-05-26 09:55:24","W kerja jadi tutor online dan offline. Nah, kalau musim utbk gini pemasukan bisa dapat lebih banyak dari bulan sebelumnya. Tapi kalau lagi lobus sekolah or lagi sepi ya pemasukan kadang sereeeet banget"
"venicellee","2022-05-26 09:30:07","Sekolah kalian masih online atau udah full offline?"
"lightskypurple","2022-05-26 09:19:28","study twt makin sepi karena sekolah udh offline, apa perasaanku aja? ga serame pas masih pandemi"
"Meowiiee2_","2022-05-26 09:07:21","@Jokitugsfess dah banyak yg libur semester dan anak sekolah banyak yg offline :"")"
"chzrwar","2022-05-26 09:05:25","@Jokitugsfess Mmng nder. Lg libur, sama pada sekolah offline skrg😔🖐"
"Biekth","2022-05-26 07:39:36","I DID IT✊🏻

3 tahun masa MA, 2 tahun aku habiskan dengan sekolah online, dan itu beneran GAK MUDAH.

selama SD dan SMP aku tu selalu peringkat 3/5 besar, paling rendah 10 besar. tapi gara-gara sekolah offline, aku sampe terancam gak naik kelas :) https://t.co/0KyZIwCpIy"
"lIckloe","2022-05-26 07:21:15","sekolah haha hihi tbtb UAS offline😋"
"criseIIa","2022-05-26 06:12:39","menurutku tugas waktu sekolah online lebih dikit deh perasaan dibanding waktu offline 😭 sekolah aneh emang"
"iridesciaa","2022-05-26 05:51:21","@hrdbacot bismillah. aku gapyear, dan sepanjang sekolah gapunya laptop. aku dari dulu pengem banget belajar word sama excell lagi. dulu ikutan ekskuldi sekolah, tapi karena corona jadi cuma offline 1 ½ tahun aja. selain buat belajar excell sama word, aku juga ikut kelas online buat mandiri"
"JUALAN_BASE","2022-05-26 04:57:29","Yang udah mulai sekolah/kuliah/kerja offline pasti butuh banget flashdisk ✨

Flashdisk SanDisk 32 GB new 35k aja nih, harga pasarannya 50k ke atas lho. Bisa langsung CO di syopi 😃 JB https://t.co/L8CaKsIsfK"
"cyjcarts","2022-05-26 03:40:34","@943eternal KAAKK SEDIH BGT JUJUR AKU JUGA KANGENN BGTT tp aku udah mulai sekolah offline, jadi ga banyak on twt. mingdeo juga udah mulai ujian kenaikan kelas huhUhuH t___t"
