username,tweetcreatedts,tweet
joshuacimol,2022-06-16 22:35:38+00:00,YA ALLAH JANGAN SAMPE 😭😭😭🙏🏻🙏🏻 mau ttp sekolah offline sm nonton konser 🥲 https://t.co/48BvboHQPy
kanalbali,2022-06-16 18:37:55+00:00,"Via ini mengatakan, siswa sekolah mengalami masa-masa sulit karena terpaksa bersekolah secara #online tanpa bertemu dengan teman-temannya secara #OFFLINE . #pelajar #denpasar #Bali 
https://t.co/L7UH9TP6ho"
RUANGBELAJAR10,2022-06-16 18:01:25+00:00,"Selamat mempersiapakan liburan semester #bestie☀️☁️ semangat hari terakhir sekolah ga sii atau masi besok? Sekalian aku mau spill deh bimbel offlinenya Ruangguru, Brain Academy Offline itu gmn🥳🤩💛 #bimbelonline #OFFLINE #ambies https://t.co/3ORcGJ1vkT"
captarians,2022-06-16 17:49:59+00:00,"jan: sekolah offline (happy bgt)
feb: lupa
mar: usbn, banyak foto sm temen2 💘
april: ultah me ke 18 dirayain di kfc
mei: ditembak sm ray 🤠 https://t.co/K6071qFivs"
knyfrmnday,2022-06-16 16:41:43+00:00,"@neccanin Mjb dek, bantu infoin di Brain Academy Offline tersedia beberapa cabang di Jakut, Jaksel, Jakbar sama Jaktim kali aja ada yg deket rumah atau sekolah yaa🙆🏻‍♀️😽 dan masi ada diskon bgt sebelum Juli plus cashback, lebih gede lagi klo uda pernah langganan paket RG apapun✨️💫"
chocoltzzzz,2022-06-16 15:52:14+00:00,"@convomfs 💭 things u remember from 2022? 

jan : gue mulai nge crushin doi, nonton ty salma
feb : ikut lomba nari
mar : sekolah offline huhu
apr : bukber2
may : kerkel2 seru 🤩 
jun : pas full nt, jalan2 ke gembiraloka sm temen 😭🤩"
bttrflwwss,2022-06-16 14:36:05+00:00,"💭 things u remember from 2022? 

jan : akhirnya sekolah offline setelah sekian lama
feb : sakit sampe ngira kena covid karena gejala nya mirip banget
mar : pusing pat, uprak, us
apr : waktunya bersantai santai ria
may : pusing mikirin ppdb
jun : masih pusing mikirin ppdb https://t.co/u3kZLZt9jn"
diaryprvt,2022-06-16 14:04:55+00:00,Semangat buat besok yang masi sekolah online/offline
joki_nihongo,2022-06-16 14:03:31+00:00,"@Jokitugsfess Dah pada offline kalii nder, ini juga dah mo liburan sekolah pada terima raport"
leenobit_,2022-06-16 13:28:57+00:00,"gua kan kemaren gradu diluar sklh tuh, tapi mas crush gua kaga ada yg ikut 22nya. trs enih ada gradu resmi di sekolah cuma org2 yg dipilih yg dateng offline TRS MAS CRUSH GUA 22NYA ADA WKWKK gweh jg dipanggil akwoakwok. jujurli mau gua ajak potbar tapi mental gua yupi bgt plss,,,"
rainbows4ltt,2022-06-16 13:23:01+00:00,"[160622] nct dream offline fansign event 

2. Mereka mengatakan sedang mempersiapkan koreografi beatbox seragam sekolah
(Apakah tidak apa-apa jika saya mengenakan seragam sekolah dan mahkota dan melakukan segalanya?)
#NCTDREAM #Beatbox https://t.co/fqAAA6n3xX"
asceins,2022-06-16 13:15:25+00:00,*bisa terus sekolah offline*
asceins,2022-06-16 13:12:54+00:00,"klo lu gk bahagia pas SMA, bukan berarti org lain bakal begitu juga. masa SMA itu masa terindah dalam hidup aku sih, sampe aku cerita mulu di blog betapa takutnya kehilangan masa SMA😂 semoga kalian yg baru mulai SMA terus sekolah offline dan merasakan apa yg aku rasakan juga☺️ https://t.co/JLsW3Yx1bo"
tkusumaw81,2022-06-16 13:09:45+00:00,"@burhan_infinity iya mas, harga segitu dengan fitur mumpuni. skrg krn anak udah sekolah offline, tabletnya sering saya pake 🤭
buat buka email, excel, word sama powerpoint enak juga wlopn processornya masih quad core. dan yg saya suka baterainya 6000 mAh, tahan lama 😁"
glitchteurr,2022-06-16 12:25:12+00:00,"cewe 39, cowo 2. cowonya yg satu sejak masuk sekolah offline baru masuk 2 kali, ujian masuk sehari anjir https://t.co/hrx8s5ztnn"
Darwishakmr,2022-06-16 11:52:59+00:00,"oh tak lupa congrats kawan-kawan sekolah,tuition offline,tuition online yang cemerlang.and terima kasih semua cikgu-cikgu yg pernah mengajar saya thank youu #Spm2021"
Pr2612Nanda,2022-06-16 11:32:49+00:00,"jan : Akhirnya sekolah offline lagi
feb : sibuk daftar snmptn
mar : gatau banyak belajar aja....dan LULUS SNM 
apr : daftar ulang kuliah dan pengayaan LSP ( Ujian Sekolah juga tentunya)
may : Ujian LSP
jun : Lulus deh tinggal nunggu kuliah https://t.co/GqGVyZ9hD8"
Pr2612Nanda,2022-06-16 11:32:44+00:00,"@convomfs jan : Akhirnya sekolah offline lagi
feb : sibuk daftar snmptn
mar : gatau banyak belajar aja....dan LULUS SNM 
apr : daftar ulang kuliah dan pengayaan LSP ( Ujian Sekolah juga tentunya)
may : Ujian LSP
jun : Lulus deh tinggal nunggu kuliah"
asaheey,2022-06-16 11:30:40+00:00,@hjwluvss IYA ANJRITTTTT KAYANYA EMG SEKOLAH W DOANG YG OFFLINE GAJETOT BGT ASLI😒😒😒😒
jeyeyeyyy,2022-06-16 11:19:05+00:00,gue kira sekolah offline bikin gue mental gue baik tapi ternyata malah makin parah sjsjsksksl
maba2022_xx,2022-06-16 11:04:20+00:00,"@convomfs 💭 things u remember from 2022? 

jan : pertama kali sekolah offline stlh ampir 2 taun online
feb : deket lagi sama prejonan ku
mar : upt+pensi+nonton sama prenjon
apr : stress menuju utbk
may : utbk, makin deket bgt bgt bgt smaa prenjonan
jun : asing lagi sama prenjonan:)"
mar1tzaozawa,2022-06-16 10:55:20+00:00,"@convomfs jan : ultah, sekolah offline, foto bts
feb : kena covid
mar : us offline
apr : pm utbk, puasa
may : lebaran
jun : gradu"
jwujuw,2022-06-16 10:43:17+00:00,"@convomfs 💭 things u remember from 2022? 

jan : msk sekolah offline punya tmn
feb : masuk club voli
mar : beli pc pertama kali
apr : reuni tmn sd
may : jalan² ke jogja, dremies ke indo
jun : beli album pertama kali"
secretourum,2022-06-16 10:30:45+00:00,"@napcozys HIHI THANK YOUU &lt;33 iyaa sekolah aku juga offline kok, tapi sayangnya aku lagi kena covid, jadi mau gamau dari rumah deh.. 😞💔"
anx_aNc,2022-06-16 10:14:17+00:00,"Bocil jaman sekarang pada sok banget sih, gajelas. 
Lebih baik kalo anak belom butuh handphone tuh gausah dikasih! Sekarang sekolah kan udh mulai offline tuh nah ambil hp nya 😒"
mcdspicy_,2022-06-16 09:36:32+00:00,"@convomfs jan : sekolah offline seruu
feb : tante meninggal + pusing uprak
mar : aku di operasi
apr : pusing, nangis belajar utbk
may : utbk 
jun : deg deg an nunggu hasil utbk tiap hari tkut bgt:)"
xguminghao,2022-06-16 08:58:51+00:00,"Karena gue pasti ga dibolehin buat offline, mau minta yg online aja DISURUH MIKIR DULU MAU SEKOLAH KEMANA

BENER SIH SEKOLAH LEBIH PENTING CUMA TIMINGNYA JLEK BANGET KUDU FIX SEKOLAH BARU DIBAYARKAN 😭😭😭😭 https://t.co/QY6XhwE6V8 https://t.co/WWA3SvX1l3"
jeffraey,2022-06-16 08:38:17+00:00,"💭 things u remember from 2022? 

jan : sekolah offline seminggu 3x tapi ½ hari doang
feb : SEKOLAH ONLINE LAGI HMZ
mar : GIDLE COMEBACK &gt;____&lt;
apr : ujian lsp 😥
may : dunno, tapi di bulan ini gue merasa banyak duit karena lebaran 🤣
jun : ujian ptn, semoga lulus deh ya https://t.co/UBdPjMQgzD"
nmgizn,2022-06-16 08:30:38+00:00,"@convomfs jan : sneng krn udh skolah offline trs mulai suka sm org sekolah
feb : sdih krn daring lg 
mar : stress berat krn dh mau to 
apr : bulan keramat bgt soalnya gua uprak sm ujian skolah trs jg gua udh mulai akrab sm crush cm sbntr doang 
may : study tour💕
jun : kelulusan💯😻☝🏻"
mstrdmind,2022-06-16 08:12:00+00:00,gue pas kelas pagi offline dan baru sadar bocil kematian udah mulai sekolah lagi https://t.co/eA8oCqr7J9
tweetiefrutea,2022-06-16 08:07:23+00:00,"@convomfs Jan : stress, angst, mulai sch offline
Feb : sch tiba-tiba online lg + ujian praktek video
Mar : ujian sekolah + gagal lolos snm
Apr : mulai move-on dan fokus belajar sbm
May : ovt sepanjang hari + utbk 
Jun : ngambil ijazah + cap 3 jari"
notzelin,2022-06-16 08:07:07+00:00,dulu pas adek masih sekolah offline kelas 10 doi sering pulang telat dimarahin diem aja ga pernah jawab ternyata telatnya karena selalu minjemin temen sebangkunya kalo ada tes/pr yg perlu pake hp karena temennya ga punya jd doi nungguin temennya selesai tes dulu 🥲
serambinews,2022-06-16 07:49:55+00:00,"Dalam menyambut momentum tahun ajaran baru dan kembalinya bersekolah secara offline, Gramedia menghadirkan rangkaian promo “Gramedia Sahabat Sekolah”.
 
https://t.co/w3Eg0SHw8E via @serambinews"
Askrlfess,2022-06-16 07:41:21+00:00,"[askrl] misalkan keterima volunteer offline luar sekola, pas jadwal sekolah masuk tuh gimana izin nya?"
talesofkirei,2022-06-16 07:34:55+00:00,"@convomfs jan : sekolah offline
feb : sekolah online
mar : online agak gila
apr : lebih gila lagi
may : puncak kegilaan
jun : libur"
pettiest_,2022-06-16 07:23:45+00:00,"@_tsumutoroo__ ehiyaaa gakpa kak, yg sekolah emang banyak yg udah offline sik kak tp klo prodiku masih belum :("
loafsnanadoyie,2022-06-16 07:23:10+00:00,"@convomfs jan : sekolah offline 100% lagi 
feb : uprak
mar : ujian sekolah + pengumuman snmptn 🥲
apr : puasa &amp; my bday
may : lebaran dan pulkam ke Malang lagi after 5 tahun ga pulkam + utbk
jun : NUNGGU PENGUMUMAN SBMPTN, DOAIN AKU LOLOS PIL 1 YAAA🙏🏻"
dhijkv,2022-06-16 07:18:13+00:00,"@convomfs 💭 things u remember from 2022? 

jan : jl byk post &amp; sering online after a long time
feb : tugas hafalan senam skj 2018
mar : txt 3rd anniv &amp; nonton fanlive mereka
apr : sekolah offline jor-joran
may : idhul fitri tp cuma libur seminggu
jun : bts cb (jgn lupa stream yet to come)"
