tweet_bersih,label_sentimen
astaga sekolah offline,-1
sekolah offline bosan sekolah offline saya bosan,-1
sekolah offline semangat jojooo,1
unty hai yuk sekolah offline kayak semangat ajar sekolah pikir pikir,1
sch hai teman teman sender ptm kali sekolah alias masuk takut percaya semangat offline daring,-1
adik sekolah offline kakak tahan meja ajar suap kucing,0
sekolah offlineonline,0
sekolah offline papay guyss,-1
pagi sekolah offlineonline,0
sch wtp sender sekolah offline semangat daring offline,1
offline sekolah orang heboh rumah sekolah,1
saya sekolah offline bawa malas waka mentwit i think im oke,-1
sekolah offline,0
sekolah offline tidur jam,0
adik sekolah offline sarapannyaa jam seginiii,1
pagi moots cung sekolah offline,1
sekolah offline,0
sekolah daring offline nin,0
wahhhh sekolah offline daring ai,0
rumah adik jadwal sekolah offline wkwk,1
saya sekolah offline,0
sebal banget dahhh pagi sekolah offline eh hujan motor oi masuk angin,1
sekolah offline saya tidur,-1
pagi moots sekolah daring offline offline,1
hsjahskah sekolah offline rasa banget selesainyaa stres saya,-1
hai bestie saya sekolah offline,1
saya bolos sekolah offline njg,-1
sekolah offline daring,0
ptm kadang malas bangun pagipagi biasa daring masuk jam pas offline set berangkat sekolah badan tempel kasur,-1
sekolah offline,1
sekolah neng daring saya tangkap serius kerja seru offline,0
lowong kerja kolong meja offline isi buku pinjeman pus sekolah bawa buku catat,1
anjing besok sekolah offline aduh,-1
kangen sekolah offline,0
langit kah engkau turun hujan petir besok malas sekolah offline,-1
schapp sch besok sekolah offline takut teman teman kelas nge circle,-1
cantik kali pundipundi uang sok terima kasih pandemi saya ngoleksi skinker andai saya lulus sekolah offline muka hideung dekil gakaruan uang pindah haluan nasi warung tegal skinker aga sesal saya duit utuh gadubeli,0
sekolah pulang alias gapengen sekolah offline,-1
tahu lomba offline sekolah lomba daring serti kayak lomba offline tingkat nasional diadain universitas indonesia pakai correct me if i am wrong,0
besok pagi masuk sekolah offline sekaranh tidur,0
sekolah offline,1
besok sekolah offline gilir genapppp,1
iyaah aman xd wkwk hayo biasa biasa bangun jam sekolahkuliah offline,1
menang kayak pas normal offline sekolah bangtan comeback po album fullpay gara gara sibuk rl rasa banget rilis arrived ina santai kayak banget,0
sok tomorrow finally offline school i do not know to react umum days ago saya cari alat sekolah gaktau ada sekolah,0
semenjak sekolah offline stres,-1
pikir kayak banget bilang handphone teross pegang handphone sekolah kayak iya sekolah offline pagi sore diam seko pegang handphone malemnya pegang handphone,1
sekolah offline tidur,-1
besok sekolah offline,1
sekolah offline full kelas rumah teman senang banget having fun bestie avv,1
sekolah offline eh kayak saya doang,-1
orangorang benci sekolah offline keluh pribadi pikir normal,1
lebih baik biasa sekolah daring kayak doa moga p word panjang ayo sekolah offline sila nama home schooling,1
sekolah offline kayak mentally unstable,-1
adik saya cari tas sekolah besok offline,0
masuk lihat kknya sekolah tk ikut ku masuk didik anak usia offline bunda,1
besok sekolah offline tugas video masak,1
efek antuk ayo kawan tidur malam malam gutnait tidur besok sekolah offline saya vi,1
kak kayak abang daring abang offline kayak sekolah iya,0
gek adaptasi sekolah daring offline aduh,-1
saya sekolah offline kelas ramai banget saya nimbrung obrol diam malu heboh pas kelas,0
tugas saya sekolah offline heran deh,-1
malas banget besok sekolah offline,-1
sekaliii semangat jalan sekolah offline capai tambah x lipat sedih banget biasa kali wkwk offline paham materi,1
aduh enak sekolah daring offline seperti malas banget mandi pagi sarap tidur tertawa,-1
stase anak obgyn ipd jaga pagi yuk yuk corona ilaaangg aktivitas kuliah sekolah normal vaksinasi anak coba kelas offline siswa iya kak sekolah daring bego,1
jujur suka daring masuk materi suasana sekolah suka offline,0
semenjak sekolah offline tidur bangun pagi capek banget,-1
tahun doang offline and lumayan an sayang duid anjirun biaya sekolah mahal saya beban,0
saya takut besok pas masuk sekolah mata bengkak anjing sekolah offline guru mata habis nangisin cowok au bu binggung guru,-1
