username,tweetcreatedts,tweet,label_sentimen,tweet_cf,tweet_clean,tweet_clean_alay,tweet_token,tweet_stopword,tweet_normalisasi,tweet_stemming,tweet_bersih
taphodit,2021-10-26 23:55:21,ASTAGAAAA BARU INGET SEKARANG SEKOLAH OFFLINE,-1,astagaaaa baru inget sekarang sekolah offline,astagaaaa baru inget sekarang sekolah offline,astaga baru ingat sekarang sekolah offline,"['astaga', 'baru', 'ingat', 'sekarang', 'sekolah', 'offline']","['astaga', 'sekolah', 'offline']","['astaga', 'sekolah', 'offline']","['astaga', 'sekolah', 'offline']",astaga sekolah offline
L94KJISS,2021-10-26 23:52:56,"Yg udh sekolah offline, lama lama bosan gsi sekolah offline? Kok gw bosen :(",-1,yg udh sekolah offline lama lama bosan gsi sekolah offline kok gw bosen,yg udh sekolah offline lama lama bosan gsi sekolah offline kok gw bosen,yang sudah sekolah offline lama lama bosan tidak sih sekolah offline kok gue bosan,"['yang', 'sudah', 'sekolah', 'offline', 'lama', 'lama', 'bosan', 'tidak', 'sih', 'sekolah', 'offline', 'kok', 'gue', 'bosan']","['sekolah', 'offline', 'bosan', 'sekolah', 'offline', 'gue', 'bosan']","['sekolah', 'offline', 'bosan', 'sekolah', 'offline', 'saya', 'bosan']","['sekolah', 'offline', 'bosan', 'sekolah', 'offline', 'saya', 'bosan']",sekolah offline bosan sekolah offline saya bosan
jjnanney,2021-10-26 23:45:18,@jinhwanchy Wah udah sekolah offline? Semangat jojooo,1,wah udah sekolah offline semangat jojooo,wah udah sekolah offline semangat jojooo,wah sudah sekolah offline semangat jojooo,"['wah', 'sudah', 'sekolah', 'offline', 'semangat', 'jojooo']","['sekolah', 'offline', 'semangat', 'jojooo']","['sekolah', 'offline', 'semangat', 'jojooo']","['sekolah', 'offline', 'semangat', 'jojooo']",sekolah offline semangat jojooo
Vinaa32383695,2021-10-26 23:41:07,"@Fajri_UN1TY Haii juga, yuk yg sekolah offline kayak aku semangat belajar di sekolah nya jangan mikirin dia, dia aja ga mikirin kamu🖤",1,unty haii juga yuk yg sekolah offline kayak aku semangat belajar di sekolah nya jangan mikirin dia dia aja ga mikirin kamu,unty haii juga yuk yg sekolah offline kayak aku semangat belajar di sekolah nya jangan mikirin dia dia aja ga mikirin kamu,unty hai juga yuk yang sekolah offline kayak aku semangat belajar di sekolah nya jangan memikirkan dia dia saja tidak memikirkan kamu,"['unty', 'hai', 'juga', 'yuk', 'yang', 'sekolah', 'offline', 'kayak', 'aku', 'semangat', 'belajar', 'di', 'sekolah', 'nya', 'jangan', 'memikirkan', 'dia', 'dia', 'saja', 'tidak', 'memikirkan', 'kamu']","['unty', 'hai', 'yuk', 'sekolah', 'offline', 'kayak', 'semangat', 'belajar', 'sekolah', 'memikirkan', 'memikirkan']","['unty', 'hai', 'yuk', 'sekolah', 'offline', 'kayak', 'semangat', 'belajar', 'sekolah', 'memikirkan', 'memikirkan']","['unty', 'hai', 'yuk', 'sekolah', 'offline', 'kayak', 'semangat', 'ajar', 'sekolah', 'pikir', 'pikir']",unty hai yuk sekolah offline kayak semangat ajar sekolah pikir pikir
schfess,2021-10-26 23:39:56,"Sch! Hai gais hari ini sender PTM untuk yg pertama kali di sekolah baru alias baru aja masuk SMA, agak takut tapi tetap percaya diri, semangat buat yg lagi offline atau online",-1,sch hai gais hari ini sender ptm untuk yg pertama kali di sekolah baru alias baru aja masuk sma agak takut tapi tetap percaya diri semangat buat yg lagi offline atau online,sch hai gais hari ini sender ptm untuk yg pertama kali di sekolah baru alias baru aja masuk sma agak takut tapi tetap percaya diri semangat buat yg lagi offline atau online,sch hai gais hari ini sender ptm untuk yang pertama kali di sekolah baru alias baru saja masuk sama agak takut tapi tetap percaya diri semangat buat yang lagi offline atau online,"['sch', 'hai', 'gais', 'hari', 'ini', 'sender', 'ptm', 'untuk', 'yang', 'pertama', 'kali', 'di', 'sekolah', 'baru', 'alias', 'baru', 'saja', 'masuk', 'sama', 'agak', 'takut', 'tapi', 'tetap', 'percaya', 'diri', 'semangat', 'buat', 'yang', 'lagi', 'offline', 'atau', 'online']","['sch', 'hai', 'gais', 'sender', 'ptm', 'kali', 'sekolah', 'alias', 'masuk', 'takut', 'percaya', 'semangat', 'offline', 'online']","['sch', 'hai', 'teman teman', 'sender', 'ptm', 'kali', 'sekolah', 'alias', 'masuk', 'takut', 'percaya', 'semangat', 'offline', 'daring']","['sch', 'hai', 'teman teman', 'sender', 'ptm', 'kali', 'sekolah', 'alias', 'masuk', 'takut', 'percaya', 'semangat', 'offline', 'daring']",sch hai teman teman sender ptm kali sekolah alias masuk takut percaya semangat offline daring
taqwantaridina_,2021-10-26 23:38:04,"adek semua uda mulai sekolah offline, ini kakak pertama masi bertahan di meja belajar sendiri sambil nyuapin kucing",0,adek semua uda mulai sekolah offline ini kakak pertama masi bertahan di meja belajar sendiri sambil nyuapin kucing,adek semua uda mulai sekolah offline ini kakak pertama masi bertahan di meja belajar sendiri sambil nyuapin kucing,adik semua sudah mulai sekolah offline ini kakak pertama masih bertahan di meja belajar sendiri sambil menyuapi kucing,"['adik', 'semua', 'sudah', 'mulai', 'sekolah', 'offline', 'ini', 'kakak', 'pertama', 'masih', 'bertahan', 'di', 'meja', 'belajar', 'sendiri', 'sambil', 'menyuapi', 'kucing']","['adik', 'sekolah', 'offline', 'kakak', 'bertahan', 'meja', 'belajar', 'menyuapi', 'kucing']","['adik', 'sekolah', 'offline', 'kakak', 'bertahan', 'meja', 'belajar', 'menyuapi', 'kucing']","['adik', 'sekolah', 'offline', 'kakak', 'tahan', 'meja', 'ajar', 'suap', 'kucing']",adik sekolah offline kakak tahan meja ajar suap kucing
bngnytn,2021-10-26 23:34:55,sekolah offline/online ?,0,sekolah offlineonline,sekolah offlineonline,sekolah offlineonline,"['sekolah', 'offlineonline']","['sekolah', 'offlineonline']","['sekolah', 'offlineonline']","['sekolah', 'offlineonline']",sekolah offlineonline
dejavu_amor,2021-10-26 23:34:44,Sekolah lg.... Mana ud offline papay guyss,-1,sekolah lg mana ud offline papay guyss,sekolah lg mana ud offline papay guyss,sekolah lagi mana sudah offline papay guyss,"['sekolah', 'lagi', 'mana', 'sudah', 'offline', 'papay', 'guyss']","['sekolah', 'offline', 'papay', 'guyss']","['sekolah', 'offline', 'papay', 'guyss']","['sekolah', 'offline', 'papay', 'guyss']",sekolah offline papay guyss
mutiiazhj_,2021-10-26 23:32:42,"morning, hari ini sekolah offline/online?",0,morning hari ini sekolah offlineonline,morning hari ini sekolah offlineonline,pagi hari ini sekolah offlineonline,"['pagi', 'hari', 'ini', 'sekolah', 'offlineonline']","['pagi', 'sekolah', 'offlineonline']","['pagi', 'sekolah', 'offlineonline']","['pagi', 'sekolah', 'offlineonline']",pagi sekolah offlineonline
schfess,2021-10-26 23:31:32,sch! wtp sender udah sekolah offline nii... ttp semangat yaa buat yang online juga offline 💕 https://t.co/6ZOS9VwFC2,1,sch wtp sender udah sekolah offline nii ttp semangat yaa buat yang online juga offline,sch wtp sender udah sekolah offline nii ttp semangat yaa buat yang online juga offline,sch wtp sender sudah sekolah offline ini tetap semangat ya buat yang online juga offline,"['sch', 'wtp', 'sender', 'sudah', 'sekolah', 'offline', 'ini', 'tetap', 'semangat', 'ya', 'buat', 'yang', 'online', 'juga', 'offline']","['sch', 'wtp', 'sender', 'sekolah', 'offline', 'semangat', 'online', 'offline']","['sch', 'wtp', 'sender', 'sekolah', 'offline', 'semangat', 'daring', 'offline']","['sch', 'wtp', 'sender', 'sekolah', 'offline', 'semangat', 'daring', 'offline']",sch wtp sender sekolah offline semangat daring offline
