"username","tweet","label_sentimen"
"clayinhere","@dorisak_ hooh sih, wes do offline og ya
nang kene juga seh esuk rame nang ndalan do ngeterke anak e sekolah","0"
"astrophiIeist","@yangdurjana wooowwww, syukur kalau udah ada perubahan, aamiin semoga nanti bisa bobo di bawah jam dua belas yaa. aku pas masih sekolah offline juga gitu, tidur diatas jam dua belas mulu, tapi syukur sekarang udah engga lagi. paling kalau jam segitu tuh kebangun","-1"
"niquesemii","@garstudying seru gaa? ku mau baca ini tpi nunggu sekolah offline biar bisa pinjem dri perpus aja 😭","1"
"ariomalv","1. WFH itu dianggap buruk karena mental kita terbiasa buru buru kekantor/kepabrik/sekolah biar ngga telat😬
2. budaya WFH ngga akan bisa dimaklumi karena datang fisik offline itu bisa mendatangkan uang tambahan dan “uang tambahan” 😶 https://t.co/rMHUzQ6tXh","0"
"JessicaHuang__","Good kan?? Emang. Makanya mau gitu lagi wkwkwk, soalnya udah offline juga sekolah jadi gampang klo mau ngelakuinnya","1"
"sanyprayog","Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/Nb3oHNIHJt Puan PM","1"
"kneks_id","Tahun lalu, Foodizz berhasil meluncurkan Sekolah Bisnis Kuliner (SBK) yang telah diresmikan oleh Menparekraf Pak Sandiaga Uno lho Sobat. 👏

Sekarang, SBK bisa dikuti secara online maupun offline selama 6 bulan. SBK ini ada 4 bulan program kelas","0"
"jjwanst","sekolah offline tugasnya makin wadidaw banget, tugas kelompok apalagi presentasi teros","-1"
"dearianiid","Happy banget hari ini bisa ketemu anak sekolah minggu tatap muka 🥺","1"
"lesyeuxdenara_","kalian kalo sekolah/kuliah/kerja offline tim sarapan atau nunggu jam istirahat makan nya?","0"
"rripro2tpi","Sahabat kreatif , udah pada mulai ptm ni yeee cieee udah bisa ngeumpi sambil belajar kan ya kamu . Tapi kamu lebih suka sekolah offline atau online si ????? #Pro2Activity","0"
"treesure_member","@cukoopies @schfess Aku dulu deg-degan soalnya kebagian sekolah offline lagi waktu sma kls 12 smt 1 mau ujian semester. Berusaha menciptakan kenang-kenangan bareng temen juga takut gitu mempersiapkan buat ujian sekolah+ujian masuk kampus. Kayak, gila, udah mau jadi anak gede nih aku. Gitu si","-1"
"misterbeebean","day 1 sekolah offline tugas numpuk sekali yes","-1"
"hnfrfdz","@collegemenfess Ppl kemaren alhamdulillah kebagian offline di smk, gabisa pilih sekolah, udah dipilihin dari kampus, rumah-sekolah 30 menit jadi harus berangkat jam 6 kurang biar set. 7 udah sampe di sekolah, seru bgt tapi sayangnya cuma 40hari padahal warga sekolahnya bikin nyaman😭👍🏻","1"
"donakuswoyo","Ganbatte buat pejuang UAS offline semester genap! 💪🏽

Semangat buat yang mau daftar sekolah negeri! 💪🏽

Fighting buat yang lagi ngerjain PAT di sekolah! 💪🏽","0"
"CNNIDdaily","Guna mencegah penyakit hepatitis akut selama pembelajaran tatap muka, siswa diimbau untuk membawa bekal ke sekolah. Cara ini dilakukan agar siswa tidak jajan sembarangan. Berikut ini tips memasak bekal untuk anak dari chef Martin Natadipraja. https://t.co/ns6OyEyJew https://t.co/LU5wuIFJXb","-1"
"tetehliccies","@rinsooajaib wrwrwrwrw ak udah sekolah offline dr awal tahun 😎😎😎😎😎","1"
"bttrflwwss","eh lapor diri nya online ya ternyata pantesan kenapa sekolah gw ngadain graduate pas lapor diri gw kira lapor diri nya offline","0"
"candraldy","@badutjalanan145 Makin macet, semua sekolah &amp; kantor offline, gaada transportasi umum yg memadai, transport pribadi makin banyak","-1"
"mejiexom","Tiba-tiba kangen deh piket di kelas. Nyapu lantai yang kotornya kek mulut loe ituu. Soalnya dulu gue sekolah cuman 1,5 Tahun, iyapp karena corona. Waktu dibolehin tatap muka, gue ga masuk kelas. Pelajaran gue full di bengkel. Bahkan keknya gue gapunya kelas deh.","1"
"nnatchamatcha","@vheyvhii wkwkwkwkwk sekolah kali ah offline","1"
"4evermork","@convomfs Serius, ini gw banget. Pas kelas 10 kan masih daring tuh, jadi bagi² tugass gitu lewat chat. Ada 1 cowok yang suka minta tugas dan dia juga sering gw mintain tugas. Di chat seru bgt, sampe nanyain gw kek gmana dll. Tapi sekarang pas udh sekolah offline, gak pernah ngomong sedi-","-1"
"Ohsehunaku","Rek semuanya, Buat kalian yang kerja, sekolah, kuliah offline #TetapSehatPakaiMasker please pake masker terus ya, jaga kesehatan supaya jauh dari hepatitis akut #LawanHepatitis https://t.co/bvMzAlVbKG","-1"
"MTirasKita","OPINI : Kesiapan Sekolah Menyambut Pembelajaran Tatap Muka

Penulis :
Kelompok 
1. Revi Nurmilenia
2. Erlina Dwi Ambarwati
3. Nur Azizah

Lanjutannya :
https://t.co/fRPfJOv3WF https://t.co/CeNYZ3H4zf","0"
"Jasa_tulis_edit","@NCLYS Hai gais!!🥰 siapa nih yg selama sekolah offline dpt tugas banyak bgt? kami menawarkan jasa joki tugas nih! kami menawarkan beberapa pilihan joki yang dapat meringankan tugas teman-teman🥰 

mau nanya2 dulu? boleh bgt! Silahkan kunjungi website kami
📌https://t.co/KScE1assAp📌 https://t.co/hbw08z7CxV","-1"
"kpu_brebes","1.
#TemanPemilih
Senin (23/5), Ketua KPU Kab. Brebes Muamar Riza Pahlevi menjadi narasumber pada kegiatan tatap muka ""Sekolah Pemilu"" bagi Jurnalis Warga Kab. Brebes di ruang rapat kantor KPU Kab. Brebes. https://t.co/EgVCkQpGFo","1"
"A_Octaviany24","sama dong bsk juga ku ujian kenaikan kelas harus tatap muka jg. kyknya skrg hampir semua sekolah udh ulangan ptm @A_ChristyJKT48 #ChriStory","0"
"caczoo","@collegemenfess Kalau sepengalamanku sekolah offline dulu, aku jaga2 bawa parasetamol sama minyak angin sih dan dua itu ngebantu menurutku,,, tapi gatau untuk sekarang soalnya belum pernah kuliah offline😭","0"
"mettawiinn","@jdrvgsht kelas 10 apa ya masih jaman sekolah offline si","0"
"misterbeebean","mari pembelajaran offline lgi disaat sekolah lain pada kelulusan😍","1"
"springcrokoos","@convomf Iyah nder, itu kan dikasih tau kalo pendaftaran bisa dilakukan lewat online melalui website atau melalui offline dengan mendatangi sekolah pilihan 1, terus di bawahnya dikasih tau kalo yang offline pendaftarannya buka dari jamber sampe jamber, begitupun yang offline atau luring","0"
"xksxmflll","Sekolah offline

AAAAAAAA AKU MAUNYA TETEP ONLINE https://t.co/ZAnhM8VoH8","-1"
"sungchanscartt","@chalemimine IYAAA, GAPAPA AKU ADA SEKOLAH OFFLINE 😀","1"
"enhqypen","tidur lu smua besok sekolah offline","1"
"bluelattee_","ni sekolah offline baru mau 3 minggu, terus baru aja ketemu temen baru, kock dh mau uas ajh 😔","0"
"serpventime","@meowonges celah. dulu sekolah takde bawak fon boleh je kena buli dengan classmate. its barely a reason. more like a wider medium (and exposure) to bully. kalau behavior tu dah macam celaka, dekat offline pun boleh buli.","-1"
"Shaggy_Solo","@IndraMahardhany @lintanklintunk @Kemdikbud_RI Hampir seluruh kota dan kabupaten di Jawa dan Sumatera sudah sekolah tatap muka semua Pak.","1"
