tweet,tweet_cf
ASTAGAAAA BARU INGET SEKARANG SEKOLAH OFFLINE,astagaaaa baru inget sekarang sekolah offline
"Yg udh sekolah offline, lama lama bosan gsi sekolah offline? Kok gw bosen :(","yg udh sekolah offline, lama lama bosan gsi sekolah offline? kok gw bosen :("
@jinhwanchy Wah udah sekolah offline? Semangat jojooo,@jinhwanchy wah udah sekolah offline? semangat jojooo
"@Fajri_UN1TY Haii juga, yuk yg sekolah offline kayak aku semangat belajar di sekolah nya jangan mikirin dia, dia aja ga mikirin kamu🖤","@fajri_un1ty haii juga, yuk yg sekolah offline kayak aku semangat belajar di sekolah nya jangan mikirin dia, dia aja ga mikirin kamu🖤"
"Sch! Hai gais hari ini sender PTM untuk yg pertama kali di sekolah baru alias baru aja masuk SMA, agak takut tapi tetap percaya diri, semangat buat yg lagi offline atau online","sch! hai gais hari ini sender ptm untuk yg pertama kali di sekolah baru alias baru aja masuk sma, agak takut tapi tetap percaya diri, semangat buat yg lagi offline atau online"
"adek semua uda mulai sekolah offline, ini kakak pertama masi bertahan di meja belajar sendiri sambil nyuapin kucing","adek semua uda mulai sekolah offline, ini kakak pertama masi bertahan di meja belajar sendiri sambil nyuapin kucing"
sekolah offline/online ?,sekolah offline/online ?
Sekolah lg.... Mana ud offline papay guyss,sekolah lg.... mana ud offline papay guyss
"morning, hari ini sekolah offline/online?","morning, hari ini sekolah offline/online?"
sch! wtp sender udah sekolah offline nii... ttp semangat yaa buat yang online juga offline 💕 https://t.co/6ZOS9VwFC2,sch! wtp sender udah sekolah offline nii... ttp semangat yaa buat yang online juga offline 💕 https://t.co/6zos9vwfc2
"Yang mau offline sekolah satu orang hebohnya serumah, padahal sekolahnya deket😌","yang mau offline sekolah satu orang hebohnya serumah, padahal sekolahnya deket😌"
"@bertanyarl ENGGA, gue sekolah offline bawaannya males🙏 tapi waka ngetweet sih jadi i think im ok😬","@bertanyarl engga, gue sekolah offline bawaannya males🙏 tapi waka ngetweet sih jadi i think im ok😬"
@aradeakay ga sekolah u?? msi offline??,@aradeakay ga sekolah u?? msi offline??
udah tau hari ini sekolah offline tapi tidur jam 3😭,udah tau hari ini sekolah offline tapi tidur jam 3😭
adek akuu hari ini sekolah offline jadi sarapannyaa udah siap jam seginiii https://t.co/5TIqhlG0mg,adek akuu hari ini sekolah offline jadi sarapannyaa udah siap jam seginiii https://t.co/5tiqhlg0mg
"pagi moots , cung yg sekarang sekolah offline 🙋🙋","pagi moots , cung yg sekarang sekolah offline 🙋🙋"
kalian sekolah offline??,kalian sekolah offline??
@nininainin_ sekolah nya daring / offline nin??,@nininainin_ sekolah nya daring / offline nin??
"@yxseoo wahhhh , sekolah nya offline apa daring ai??","@yxseoo wahhhh , sekolah nya offline apa daring ai??"
Serumah baru inget kalo adek hari ini jadwalnya sekolah offline wkwkwkwkw,serumah baru inget kalo adek hari ini jadwalnya sekolah offline wkwkwkwkw
@DiMabokTaekook Gue kira sekolah offline,@dimaboktaekook gue kira sekolah offline
"Bete banget dahhh pagi"" mau sekolah offline eh malah ujan malah naik motor woii masuk angin rasa ny 😭","bete banget dahhh pagi"" mau sekolah offline eh malah ujan malah naik motor woii masuk angin rasa ny 😭"
"Sekarang padahal sekolah offline, tapi gua blm tidur sama sekali.","sekarang padahal sekolah offline, tapi gua blm tidur sama sekali."
"pagii moots ! mau tanya dong, sekolah kalian masih online atau udah offline nii??? kalo aku sendiri udah offline 😆 #nadabertanya","pagii moots ! mau tanya dong, sekolah kalian masih online atau udah offline nii??? kalo aku sendiri udah offline 😆 #nadabertanya"
"@chnasbOo HSJAHSKAH SEKOLAH OFFLINE KERASA LAMA BGT SELESAINYAA, STRESS GUE","@chnasboo hsjahskah sekolah offline kerasa lama bgt selesainyaa, stress gue"
hi bestie gw sekolah offline,hi bestie gw sekolah offline
ini gua bolos sekolah offline bisa gak ya njg,ini gua bolos sekolah offline bisa gak ya njg
kalian hari ini sekolah offline atau online?,kalian hari ini sekolah offline atau online?
"@schfess PTM sih cuman kadang males bangun pagi-pagi karena kebiasaan daring masuk jam 8. pas offline jadi set 7 harus berangkat ke sekolah, rasanya badan tuh pingin nempel di kasur trs","@schfess ptm sih cuman kadang males bangun pagi-pagi karena kebiasaan daring masuk jam 8. pas offline jadi set 7 harus berangkat ke sekolah, rasanya badan tuh pingin nempel di kasur trs"
@wtanable SEKOLAH OFFLINE,@wtanable sekolah offline
