username,tweet,label_sentimen
taphodit,ASTAGAAAA BARU INGET SEKARANG SEKOLAH OFFLINE,-1
L94KJISS,"Yg udh sekolah offline, lama lama bosan gsi sekolah offline? Kok gw bosen :(",-1
jjnanney,@jinhwanchy Wah udah sekolah offline? Semangat jojooo,1
Vinaa32383695,"@Fajri_UN1TY Haii juga, yuk yg sekolah offline kayak aku semangat belajar di sekolah nya jangan mikirin dia, dia aja ga mikirin kamu🖤",1
schfess,"Sch! Hai gais hari ini sender PTM untuk yg pertama kali di sekolah baru alias baru aja masuk SMA, agak takut tapi tetap percaya diri, semangat buat yg lagi offline atau online",-1
taqwantaridina_,"adek semua uda mulai sekolah offline, ini kakak pertama masi bertahan di meja belajar sendiri sambil nyuapin kucing",0
bngnytn,sekolah offline/online ?,0
dejavu_amor,Sekolah lg.... Mana ud offline papay guyss,-1
mutiiazhj_,"morning, hari ini sekolah offline/online?",0
schfess,sch! wtp sender udah sekolah offline nii... ttp semangat yaa buat yang online juga offline 💕 https://t.co/6ZOS9VwFC2,1
fun_girlzzz,"Yang mau offline sekolah satu orang hebohnya serumah, padahal sekolahnya deket😌",1
kaisccha,"@bertanyarl ENGGA, gue sekolah offline bawaannya males🙏 tapi waka ngetweet sih jadi i think im ok😬",-1
PRKCHNYLOVE,@aradeakay ga sekolah u?? msi offline??,0
snikthbinn,udah tau hari ini sekolah offline tapi tidur jam 3😭,0
whattodowlife,adek akuu hari ini sekolah offline jadi sarapannyaa udah siap jam seginiii https://t.co/5TIqhlG0mg,1
lowviesjuyeon,"pagi moots , cung yg sekarang sekolah offline 🙋🙋",1
seamericano,kalian sekolah offline??,0
chawtezen,@nininainin_ sekolah nya daring / offline nin??,0
chawtezen,"@yxseoo wahhhh , sekolah nya offline apa daring ai??",0
had3uh,Serumah baru inget kalo adek hari ini jadwalnya sekolah offline wkwkwkwkw,1
pvriod,@DiMabokTaekook Gue kira sekolah offline,0
ciciyoonmin,"Bete banget dahhh pagi"" mau sekolah offline eh malah ujan malah naik motor woii masuk angin rasa ny 😭",1
jmlokal,"Sekarang padahal sekolah offline, tapi gua blm tidur sama sekali.",-1
nadaabcde,"pagii moots ! mau tanya dong, sekolah kalian masih online atau udah offline nii??? kalo aku sendiri udah offline 😆 #nadabertanya",1
wtanable,"@chnasbOo HSJAHSKAH SEKOLAH OFFLINE KERASA LAMA BGT SELESAINYAA, STRESS GUE",-1
lovjohnnysuh,hi bestie gw sekolah offline,1
skycynza,ini gua bolos sekolah offline bisa gak ya njg,-1
enjihgives,kalian hari ini sekolah offline atau online?,0
arzakibii,"@schfess PTM sih cuman kadang males bangun pagi-pagi karena kebiasaan daring masuk jam 8. pas offline jadi set 7 harus berangkat ke sekolah, rasanya badan tuh pingin nempel di kasur trs",-1
chnasbOo,@wtanable SEKOLAH OFFLINE,1
pluviophileky,"Sekolah senengnya online.. Gue lebih nangkep serius.
Kerja serunya offline😭 https://t.co/IB6nRH3EuX",0
aaattomo,"@schfess bkn loker tapi kolong meja. dulu kl offline isi semua buku pinjeman perpus, jadi sekolah cuma bawa buku catetan",1
jungjjeffrey_,@convomf SAMA AJGG BESOK SEKOLAH OFFLINE LAGI ADUH,-1
onlyoneclara,@bertanyarl Kangen sekolah offline ga?,0
seoulkjinie,langit bisa kah engkau turunkan hujan dengan petir besok? saya males sekolah offline :(,-1
schfess,"SchApp! sch! aku besok sekolah offline tapi takut, soalnya gada temen😞 temen kelas pada nge circle semua:((",-1
eganovriyela,"cantik kali pundi-pundi uangku😃 so thankful karena pandemi, gue jadi ngoleksi skinker. andaikan, gue sampe lulus sekolah offline. ni muka bakal hideung, dekil gakaruan pasti. uang2ku yang berpindah haluan dari nasi warteg ke skinker🤪 aga nyesel, dulu gue duit utuh gadubeli apa2 https://t.co/1Dwxw31ZaZ",0
kiothesims,"belom sekolah udh pengen pulang, alias gapengen sekolah offline 😠😠😠",-1
Zizizeeeee,"@wonijay @sbmptnfess Setau aku ga harus lomba offline dan antar sekolah sih, soalnya lomba online gini juga serti nya diibaratkan kayak lomba pada umumnya (yang offline) apalagi ini tingkat nasional (soalnya diadain univ untuk satu Indo) jadi seharusnya bisa dipake sih. Cmiiw ya",0
lovcstay,besok pagi masuk sekolah offline tp sekaranh blom tidur kenapa ya,0
dyisrha,Sekolah offline https://t.co/0HUTtqm5v6,1
vnsachrst,tapi bsk yang sekolah offline giliran yg genapppp 😭😭😭,1
