username,tweetcreatedts,tweet
4gracez,2022-06-12 23:28:47,"HAH BIASANYA SETIAP MINGGU DI KASIH UANG JAJAN, SEKARANG???? LUPA APA GIMANA, KLO GINI MAH GA MAU SEKOLAH OFFLINE"
divaakhsana,2022-06-12 19:18:00,Semenjak ade2 gue udh pada sekolah offline alhamdulillah bisa minta jastip jajanan kantin (gue terakhir ke kantin 8 pas kls 11 abis uts w inget bgt)
xlite_de,2022-06-12 16:19:21,"@collegemenfess kangen 😌
masih sekolah pas keadaan pandemi aja tetep kangen pas masih sekolah offline"
ohmybeautybank,2022-06-12 15:25:05,[bb] rekomendasi moisturizer or serum yng bagus buat kulit belang dong:( semenjak sekolah offline jidat sender makin belang bgt 😔😔
hyuckecan,2022-06-12 12:55:33,besok sekolah offline atau online kamu?
Rakhalandikas,2022-06-12 12:52:54,"@UGM_FESS 70% kemungkinan offline, tapi selama covid, kita melihat sekolah ditutup dan dibuka dalam seminggu, jadi tidak ada yang tidak mungkin bahwa secara mendadak ppsmb dilakukan secara online, tetapi setau saya, mungkin sebelum adanya berita bali tersebut, 70% kemungkinan offline"
kaxmisato,2022-06-12 12:19:20,"@potazziumz sebenernya kasian. gatau kenapa, mungkin karena sekolah offline dan mereka lebih bnyk ngabisin waktu di socmed, dan ya....jadinya begitu. dan parahnya mereka malah nyontoh yg ga baiknya."
user1226_aka,2022-06-12 12:09:03,"@VAXMPIRESBLOOD pindih sini ke sekolah ku, disini offline 🦸🏻‍♀️"
xxkenmx,2022-06-12 11:50:53,@najwanjani loh baru mulai sekolah offline nder? aku dari taun kemaren udah sekolah offline
xredsunc,2022-06-12 11:45:15,AAAAA SEKOLAH OFFLINE GW UDAH FULL 😭😭😭😭😭😭😭😭😭😭😭😭😭😭 https://t.co/2ndgTDfgoL
AnOdeToShua,2022-06-12 10:24:29,"@hellopiyaa aku adaa tae gengmo, ngepull dari albumm kebetulann ga beli wkwk 😭😭 kapan sini kamu ke balii :( aku mau ke jkt susah ih bentar lagi sekolah offline kayaknya 😔😔"
ecacacaco,2022-06-12 09:11:57,"KM tinggal 2 minggu, kuliah offline juga tinggal beberapa minggu lagi. Mau ikut kuliah offline hari jumat tapi koo ga ada temen mana klo jumat tuh style di sekolah pake training kan klo ke kampus ganti baju dulu agak lama ya. Mana mepet waktunya 🥲"
dnrlftw,2022-06-12 08:32:05,Aroma2 anak sekolah ga jadi offline deh https://t.co/22GWaM4MfL
bontang_post,2022-06-12 06:01:10,Semoga diterima di sekolah pilihan ya https://t.co/nOeOHarDfb
JempolJohan,2022-06-12 06:00:02,@Obay_Kusut1981 Sekalian sekolah/kuliah Offline ya...
bwtaken,2022-06-12 05:55:48,"trs skrg kan dah sekolah full offline tuh, nah dia ttp parkirnya disebelahju juga, aku kan jdi gmn² yaa😭 mana klo ktmu, dianya senyum terus😭 https://t.co/RdBEVdz3hN"
itsmelski_,2022-06-12 05:26:03,"Yang punya Adik, anak ataupun kerabat yang masih sekolah dan mau berencana mau les Online maupun Offline bisa kabarin aku gais. Ada penawaran menarik nih"
ssoyjn,2022-06-12 04:50:40,@convomfs Part 2 (Engga ikut pulang kampung gara gara sekolah offline) https://t.co/e9Mpz8xsyg
bttrflwwss,2022-06-12 04:27:12,eh lapor diri nya online ya ternyata pantesan kenapa sekolah gw ngadain graduate pas lapor diri gw kira lapor diri nya offline
