username,tweetcreatedts,tweet
AXLDIGITAL,2022-06-12 13:21:36,@StopPlandemit gw dikampung terang²an.. smpai anak saya yg SMA sempat tidak boleh masuk sekolah tatap muka 1 smester.. tp gw kan bukan tokoh.. hny orang udik yg kebetulan suka berfikir kritis..
tribunjogja,2022-06-12 08:03:20,"PPKM Level 1, Disdikpora DIY Izinkan Sekolah Tambah Durasi Jam Pembelajaran Tatap Muka https://t.co/k0NVkBsJEM"
fabellabel,2022-06-12 03:11:40,@dinoreza Tiap mau tatap muka sekolah dkk kok ada aja ya 🫣
catanisme,2022-06-12 03:05:58,"@Askrlfess Efek dari sekolah kuliah online, yg harusnya dapet ospek jd ga kena ospek.
Yg harusnya dpt pelajaran sopan santun etika dgn tatap muka jd ga dapet."
grizz_boo,2022-06-11 12:38:02,"gua ini angkatan corona, sekolah full tatap muka cuma setahun....dua tahun selanjutnya gua banyak daring, gua interaksi sama temen temen kelas cuma lewat chat kebanyakan....tapi rasanya masih gak rela buat pisah, karena memang masa smk gua di @.smkyadikamdo berwarna sekali"
kumparan,2022-06-11 12:17:32,"""Sebagian besar siswa sekolah dasar dan menengah akan terus belajar online di rumah mulai Senin,"" kata juru bicara pemerintah Beijing, Xu Hejian. #kumparanNEWS https://t.co/cOchJgjUAt"
chelseaariani,2022-06-11 11:25:10,"@Hilmi28 Yg penting jangan ada PEMAKSAAN pak,jangan rakyat diuber2 kerumah,dirazia dijalanan,anak2 kita juga di buru disekolah !!
Di intimidasi oleh guru,diancam ndk boleh sekolah tatap muka dll,yg mau sehat dengan vaksin silahkan tapi bagi yg mau sehat secara alami jangan ada pemaksaan !"
EventsJKT,2022-06-11 11:06:42,"Siapa nih yang anaknya sudah mulai sekolah tatap muka? Pasti senang banget dong! Eitss... Walaupun sudah mulai tatap muka tapi jangan lupa tetap patuhi protokol kesehatan ya. Selain itu, untuk menjamin anak tetap makanan bergizi di sekolah, #PrimaSeafoodLovers bisa lho

(1) https://t.co/YQk6ImIIjv"
pahamify,2022-06-11 04:55:59,"💳 Kartu Ujian💳

Biasanya kamu diharuskan untuk cetak kartu ujian untuk dibawa ke sekolah jika ujian kamu tatap muka.

Jadi, gak boleh skip untuk cetak kartu ujian &amp; bawa di hari ujian!"
yusufrmdhn31,2022-06-11 01:49:34,"Dikatakan Gubernur Jatim, sekolah pertemuan tatap muka (PTM) dan penonton pada pertandingan olahraga hanya boleh 100 persen jika mereka sudah divaksin penuh."
