username,tweetcreatedts,tweet
alvent_chandra_,2022-05-29 23:45:29,"Haii aku baru bangunn dan mau siap siap sekolah,aku juga minggu depan ujian  kenaikan kelas weh,ada kegiatan seharian yaa mangats kegiatan nya mangats juga buat besok ujian susulan nya , aku juga ujian nya tatap muka weh , yaudahlah ya semangat kamu💙 @A_ChristyJKT48 #ChriStory"
enkus_stisna,2022-05-29 17:50:41,"Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak-anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/0j3wl3UfUk Kader PDIP Bersama Puan"
qisti_hq,2022-05-29 17:17:04,"Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak-anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/HZECKf6ceX Kader PDIP Bersama Puan"
A_Octaviany24,2022-05-29 17:00:03,sama dong bsk juga ku ujian kenaikan kelas harus tatap muka jg. kyknya skrg hampir semua sekolah udh ulangan ptm @A_ChristyJKT48 #ChriStory
sukmanudinn,2022-05-29 16:57:14,"Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak-anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/2oMxqfz5Ne Kader PDIP Bersama Puan"
jihan_ptri,2022-05-29 16:35:20,"Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak-anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/S09CyTScXH Kader PDIP Bersama Puan"
Kila_ania,2022-05-29 16:25:44,"Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak-anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/FD3hMt0XCy Kader PDIP Bersama Puan"
SumyaMr,2022-05-29 15:50:35,"Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak-anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/zU8OFd7fdM Puan Peduli Wong Cilik"
yoga_frmnsyah,2022-05-29 15:50:22,"Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak-anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/tfPa30AqXl Kader PDIP Bersama Puan"
AgaleSamadhan,2022-05-29 15:44:37,"Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak-anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/zhTs1Nhn12 Kader PDIP Bersama Puan"
