"username","tweetcreatedts","tweet","label_sentimen"
"taphodit","2021-10-26 23:55:21","ASTAGAAAA BARU INGET SEKARANG SEKOLAH OFFLINE","-1"
"L94KJISS","2021-10-26 23:52:56","Yg udh sekolah offline, lama lama bosan gsi sekolah offline? Kok gw bosen :(","-1"
"jjnanney","2021-10-26 23:45:18","@jinhwanchy Wah udah sekolah offline? Semangat jojooo","1"
"Vinaa32383695","2021-10-26 23:41:07","@Fajri_UN1TY Haii juga, yuk yg sekolah offline kayak aku semangat belajar di sekolah nya jangan mikirin dia, dia aja ga mikirin kamu🖤","1"
"schfess","2021-10-26 23:39:56","Sch! Hai gais hari ini sender PTM untuk yg pertama kali di sekolah baru alias baru aja masuk SMA, agak takut tapi tetap percaya diri, semangat buat yg lagi offline atau online","-1"
"taqwantaridina_","2021-10-26 23:38:04","adek semua uda mulai sekolah offline, ini kakak pertama masi bertahan di meja belajar sendiri sambil nyuapin kucing","0"
"bngnytn","2021-10-26 23:34:55","sekolah offline/online ?","0"
"dejavu_amor","2021-10-26 23:34:44","Sekolah lg.... Mana ud offline papay guyss","-1"
"mutiiazhj_","2021-10-26 23:32:42","morning, hari ini sekolah offline/online?","0"
"schfess","2021-10-26 23:31:32","sch! wtp sender udah sekolah offline nii... ttp semangat yaa buat yang online juga offline 💕 https://t.co/6ZOS9VwFC2","1"
"fun_girlzzz","2021-10-26 23:21:19","Yang mau offline sekolah satu orang hebohnya serumah, padahal sekolahnya deket😌","1"
"kaisccha","2021-10-26 23:13:00","@bertanyarl ENGGA, gue sekolah offline bawaannya males🙏 tapi waka ngetweet sih jadi i think im ok😬","-1"
"PRKCHNYLOVE","2021-10-26 23:10:34","@aradeakay ga sekolah u?? msi offline??","0"
"snikthbinn","2021-10-26 23:08:03","udah tau hari ini sekolah offline tapi tidur jam 3😭","0"
"whattodowlife","2021-10-26 23:03:58","adek akuu hari ini sekolah offline jadi sarapannyaa udah siap jam seginiii https://t.co/5TIqhlG0mg","1"
"lowviesjuyeon","2021-10-26 22:57:08","pagi moots , cung yg sekarang sekolah offline 🙋🙋","1"
"seamericano","2021-10-26 22:56:39","kalian sekolah offline??","0"
"chawtezen","2021-10-26 22:53:29","@nininainin_ sekolah nya daring / offline nin??","0"
"chawtezen","2021-10-26 22:52:55","@yxseoo wahhhh , sekolah nya offline apa daring ai??","0"
"had3uh","2021-10-26 22:50:39","Serumah baru inget kalo adek hari ini jadwalnya sekolah offline wkwkwkwkw","1"
"pvriod","2021-10-26 22:49:10","@DiMabokTaekook Gue kira sekolah offline","1"
"ciciyoonmin","2021-10-26 22:31:38","Bete banget dahhh pagi"" mau sekolah offline eh malah ujan malah naik motor woii masuk angin rasa ny 😭","1"
"jmlokal","2021-10-26 22:24:09","Sekarang padahal sekolah offline, tapi gua blm tidur sama sekali.","-1"
"nadaabcde","2021-10-26 22:21:34","pagii moots ! mau tanya dong, sekolah kalian masih online atau udah offline nii??? kalo aku sendiri udah offline 😆 #nadabertanya","1"
"wtanable","2021-10-26 22:13:47","@chnasbOo HSJAHSKAH SEKOLAH OFFLINE KERASA LAMA BGT SELESAINYAA, STRESS GUE","-1"
"lovjohnnysuh","2021-10-26 22:10:20","hi bestie gw sekolah offline","1"
"skycynza","2021-10-26 22:09:51","ini gua bolos sekolah offline bisa gak ya njg","-1"
"enjihgives","2021-10-26 22:07:09","kalian hari ini sekolah offline atau online?","0"
"arzakibii","2021-10-26 22:04:23","@schfess PTM sih cuman kadang males bangun pagi-pagi karena kebiasaan daring masuk jam 8. pas offline jadi set 7 harus berangkat ke sekolah, rasanya badan tuh pingin nempel di kasur trs","-1"
"chnasbOo","2021-10-26 21:44:17","@wtanable SEKOLAH OFFLINE","0"
"pluviophileky","2021-10-26 19:32:55","Sekolah senengnya online.. Gue lebih nangkep serius.
Kerja serunya offline😭 https://t.co/IB6nRH3EuX","0"
"aaattomo","2021-10-26 19:13:28","@schfess bkn loker tapi kolong meja. dulu kl offline isi semua buku pinjeman perpus, jadi sekolah cuma bawa buku catetan","1"
"jungjjeffrey_","2021-10-26 18:59:28","@convomf SAMA AJGG BESOK SEKOLAH OFFLINE LAGI ADUH","-1"
"onlyoneclara","2021-10-26 18:53:39","@bertanyarl Kangen sekolah offline ga?","1"
